source,id,sku,field,after,final_group,final_sub_type,label
phase3c,phase3c-19771-volume_ml-25,19771,specs.volume_ml,2000,sprayers_bottles,foaming_pump_sprayer,"phase3c extract: volume_ml=2000 [high] ev=""2000 ml"""
phase3c,phase3c-20417-volume_ml-41,20417,specs.volume_ml,1310,sprayers_bottles,pump_sprayer,"phase3c extract: volume_ml=1310 [high] ev=""1310 ml"""
phase3c,phase3c-21746-volume_ml-50,21746,specs.volume_ml,230,sprayers_bottles,foaming_pump_sprayer,"phase3c extract: volume_ml=230 [high] ev=""230 ml"""
phase3c,phase3c-24952-volume_ml-60,24952,specs.volume_ml,600,sprayers_bottles,trigger_sprayer,"phase3c extract: volume_ml=600 [high] ev=""600 ml"""
phase3c,phase3c-26005-volume_ml-64,26005,specs.volume_ml,1860,sprayers_bottles,pump_sprayer,"phase3c extract: volume_ml=1860 [high] ev=""1860 ml"""
phase3c,phase3c-418072-skill_level-115,418072,specs.skill_level,pro,polisher_machine,dual_action_polisher,"phase3c extract: skill_level=""pro"" [high] ev=""profesyonel/usta"""
phase3c,phase3c-418080-skill_level-118,418080,specs.skill_level,pro,polisher_machine,orbital,"phase3c extract: skill_level=""pro"" [high] ev=""profesyonel/usta"""
phase3c,phase3c-447129-skill_level-127,447129,specs.skill_level,pro,polisher_machine,orbital,"phase3c extract: skill_level=""pro"" [high] ev=""profesyonel/usta"""
phase3c,phase3c-502561-volume_ml-149,502561,specs.volume_ml,500,storage_accessories,bag_carrier,"phase3c extract: volume_ml=500 [high] ev=""500ml"""
phase3c,phase3c-533020-skill_level-174,533020,specs.skill_level,pro,polisher_machine,dual_action_polisher,"phase3c extract: skill_level=""pro"" [high] ev=""profesyonel/usta"""
phase3c,phase3c-533021-skill_level-177,533021,specs.skill_level,pro,polisher_machine,orbital,"phase3c extract: skill_level=""pro"" [high] ev=""profesyonel/usta"""
phase3c,phase3c-79586-643-volume_ml-204,79586-643,specs.volume_ml,1000,sprayers_bottles,trigger_sprayer,"phase3c extract: volume_ml=1000 [high] ev=""1000 ml"""
phase3c,phase3c-79586-644-volume_ml-209,79586-644,specs.volume_ml,1000,sprayers_bottles,trigger_sprayer,"phase3c extract: volume_ml=1000 [high] ev=""1000ml"""
phase3c,phase3c-79587-643-volume_ml-211,79587-643,specs.volume_ml,1000,sprayers_bottles,trigger_sprayer,"phase3c extract: volume_ml=1000 [high] ev=""1000 ml"""
phase3c,phase3c-79587-644-volume_ml-216,79587-644,specs.volume_ml,1000,sprayers_bottles,trigger_sprayer,"phase3c extract: volume_ml=1000 [high] ev=""1000ml"""
phase3c,phase3c-79588-643-volume_ml-218,79588-643,specs.volume_ml,1000,sprayers_bottles,trigger_sprayer,"phase3c extract: volume_ml=1000 [high] ev=""1000 ml"""
phase3c,phase3c-79588-644-volume_ml-223,79588-644,specs.volume_ml,1000,sprayers_bottles,trigger_sprayer,"phase3c extract: volume_ml=1000 [high] ev=""1000ml"""
phase3c,phase3c-PPF-L500M-volume_ml-341,PPF-L500M,specs.volume_ml,500,ppf_tools,ppf_install_solution,"phase3c extract: volume_ml=500 [high] ev=""500 ml"""
phase3c,phase3c-Q2M-ES98M-volume_ml-346,Q2M-ES98M,specs.volume_ml,80,product_sets,experience_set,"phase3c extract: volume_ml=80 [high] ev=""80 ml"""
phase3c,phase3c-Q2M-P-DB300M-volume_ml-350,Q2M-P-DB300M,specs.volume_ml,300,sprayers_bottles,dispenser_bottle,"phase3c extract: volume_ml=300 [high] ev=""300 ml"""
phase3c,phase3c-Q2M-WCS98M-volume_ml-371,Q2M-WCS98M,specs.volume_ml,80,product_sets,experience_set,"phase3c extract: volume_ml=80 [high] ev=""80 ml"""
phase3c,phase3c-SGGC091-volume_ml-384,SGGC091,specs.volume_ml,1000,sprayers_bottles,foaming_pump_sprayer,"phase3c extract: volume_ml=1000 [high] ev=""1000ml"""
