id,scope,sku,field,before,after,label
phase2-industrial_products-07933.056.001-key29,product.specs,07933.056.001,specs.confidence,0.5,null,P0 ilgisiz: industrial_products grubunda confidence anlamsız
phase2-industrial_products-07933.056.001-key30,product.specs,07933.056.001,specs.gap_reason,cleaner_liquid:exterior_cleaner,null,P0 ilgisiz: industrial_products grubunda gap_reason anlamsız
phase2-industrial_products-07201.056.001-key31,product.specs,07201.056.001,specs.fit,weak,null,P0 ilgisiz: industrial_products grubunda fit anlamsız
phase2-industrial_products-07201.056.001-key32,product.specs,07201.056.001,specs.source,group,null,P0 ilgisiz: industrial_products grubunda source anlamsız
phase2-industrial_products-07201.056.001-key33,product.specs,07201.056.001,specs.confidence,0.5,null,P0 ilgisiz: industrial_products grubunda confidence anlamsız
phase2-industrial_products-07201.056.001-key34,product.specs,07201.056.001,specs.gap_reason,cleaner_liquid:exterior_cleaner,null,P0 ilgisiz: industrial_products grubunda gap_reason anlamsız
phase2-industrial_products-07163.056.001-key35,product.specs,07163.056.001,specs.fit,weak,null,P0 ilgisiz: industrial_products grubunda fit anlamsız
phase2-industrial_products-07163.056.001-key36,product.specs,07163.056.001,specs.source,group,null,P0 ilgisiz: industrial_products grubunda source anlamsız
phase2-industrial_products-07163.056.001-key37,product.specs,07163.056.001,specs.confidence,0.5,null,P0 ilgisiz: industrial_products grubunda confidence anlamsız
phase2-industrial_products-07163.056.001-key38,product.specs,07163.056.001,specs.gap_reason,cleaner_liquid:exterior_cleaner,null,P0 ilgisiz: industrial_products grubunda gap_reason anlamsız
phase2-industrial_products-07945.056.001-key39,product.specs,07945.056.001,specs.fit,weak,null,P0 ilgisiz: industrial_products grubunda fit anlamsız
phase2-industrial_products-07945.056.001-key40,product.specs,07945.056.001,specs.source,group,null,P0 ilgisiz: industrial_products grubunda source anlamsız
phase2-industrial_products-07945.056.001-key41,product.specs,07945.056.001,specs.confidence,0.5,null,P0 ilgisiz: industrial_products grubunda confidence anlamsız
phase2-industrial_products-07945.056.001-key42,product.specs,07945.056.001,specs.gap_reason,cleaner_liquid:exterior_cleaner,null,P0 ilgisiz: industrial_products grubunda gap_reason anlamsız
phase2-industrial_products-07984.056.001-key43,product.specs,07984.056.001,specs.fit,weak,null,P0 ilgisiz: industrial_products grubunda fit anlamsız
phase2-industrial_products-07984.056.001-key44,product.specs,07984.056.001,specs.source,group,null,P0 ilgisiz: industrial_products grubunda source anlamsız
phase2-industrial_products-07984.056.001-key45,product.specs,07984.056.001,specs.confidence,0.5,null,P0 ilgisiz: industrial_products grubunda confidence anlamsız
phase2-industrial_products-07984.056.001-key46,product.specs,07984.056.001,specs.gap_reason,cleaner_liquid:exterior_cleaner,null,P0 ilgisiz: industrial_products grubunda gap_reason anlamsız
