sku,fullDescription
Q2M-CMP1000M,"ın. 
4. Kontrol ve Temizlik: Yüzeydeki ürün kalıntılarını kaliteli bir mikrofiber bezle silin. Yapılan düzeltmenin gerçek durumunu görmek için yüzeyi GYEON Q²M Prep ile silerek tüm polisaj yağlarından arındırın. 
 
 
Önerilen Sistem Bileşenleri Yapılan düzeltmenin kalıcılığını sağlamak ve parlaklığı en üst seviyeye çıkarmak için: 
 
Ürün Amaç Sistemdeki Rolü 
GYEON Q²M Prep Polisaj Yağı Temizliği Bir sonraki adıma geçmeden önce yüzeyin tamamen temiz olmasını sağlar. 
GYEON Q²M Polish Finiş Adımı Compound+ sonrası yüzeydeki olası hareleri giderir, maksimum parlaklığa ulaştırır. 
GYEON Q² Wax Son Kat Koruma & Parlaklık Elde edilen düzeltmeyi ve parlaklığı aylarca koruma altına almak için kolay ve etkili bir çözümdür. 
GYEON Polishwipe Kalıntı Temizliği Yüksek kaliteli yapısıyla kalıntıları çiziğe neden olmadan güvenle temizler. 
 
 
Sıkça Sorulan Sorular (Profesyonel Odaklı FAQ) 
 
• S: Ürün dolgu maddesi veya silikon içeriyor mu? 
C: Hayır. Q²M Compound+, ""body shop safe"" (boyahane güvenli) bir üründür. Silikon ve dolgu maddesi içermez, gördüğünüz sonuç yüzeyin gerçek durumudur. 
 
• S: PPF (Boya Koruma Filmi) öncesi bu ürünü kullanmak neden önemli? 
C: Sanılanın aksine PPF, şeffaf olsa da altındaki kusurları göstermek yerine kapatma ve gizleme eğilimindedir. Asıl tehlike burada başlar. Filmin yapışkanı, çizikler ve pürüzlerle dolu bir yüzeye homojen bir şekilde tutunamaz. Bu durum, filmin ömrünü kısaltabileceği gibi, ilerideki söküm işlemlerinde çok ciddi riskler doğurur. Kusurlu bir yüzeye yapışan PPF, sökülürken vernik veya boya katmanını da beraberinde kaldırabilir. Q²M Compound+ ile başlayan yüzeyi tamamen pürüzsüz ve kusursuz hale getirme işlemi, PPF'in yüzeye maksimum düzeyde yapışmasını garanti eder, uygulama kalitesini artırır ve en önemlisi, gelecekteki söküm işlemlerini güvenli kılar. 
 
• S: Bu pastadan sonra finisaj adımı atlamak mümkün mü? C: Hayır. Bu ürün, saf kesim gücüne odaklanan bir ilk adım pastasıdır. Hologramsız ve kusursuz bir finiş için mutlaka GYEON Q²M Polish gibi bir ara kat/finiş pastası ile ikinci bir adım uygulanmalıdır. 
 
 
GYEON İLE VERİMLİLİK VE MÜKEMMEL SONUÇ, HER DEFASINDA."
Q2M-CMPR1000M,"şın.
4. Kontrol ve Temizlik: İlerlemeyi görmek için yüzeyi düzenli olarak bir polisaj bezi ile silin. İşlem bittiğinde, yüzeyin gerçek durumunu görmek için GYEON Q²M Prep ile tüm polisaj yağlarından arındırın.

Önerilen Polisaj Sistem Bileşenleri Yapılan düzeltmenin kalıcılığını sağlamak ve parlaklığı en üst seviyeye çıkarmak için:

Ürün Amaç Sistemdeki Rolü
GYEON Q²M Prep Polisaj Yağı Temizliği Bir sonraki adıma geçmeden önce yüzeyin tamamen temiz olmasını sağlar.
GYEON Q²M Polish Finiş Adımı Compound+ sonrası kalan hafif hologramları tek geçişte kolayca giderir.
GYEON Q² Mohs EVO Son Kat Koruma & Parlaklık Elde edilen düzeltmeyi ve parlaklığı koruma altına almak için ideal Gyeon çözümüdür.
GYEON PolishWipe Kalıntı Temizliği Yüksek kaliteli yapısıyla kalıntıları çiziğe neden olmadan güvenle temizler.

Sıkça Sorulan Sorular (Profesyonel Odaklı FAQ)

• S: REDEFINED versiyonunun önceki versiyondan farkı nedir? C: REDEFINED versiyonu, daha fazla kesim gücü , önemli ölçüde azaltılmış tozlanma ve kurumadan daha uzun bir çalışma süresi sunar.
• S: Bu pastadan sonra finisaj adımı atlamak mümkün mü? 
C: Hayır. Bu ürün ağır kesime odaklıdır ve arkasında hafif hologramlar bırakabilir. Kusursuz bir finiş için mutlaka, bu hologramları tek geçişte kolayca giderebilen GYEON Q²M Polish ile ikinci bir adım uygulanmalıdır.
• S: Ürün dolgu maddesi veya silikon içeriyor mu? 
C: Hayır. Q²M Compound+ Plus REDEFINED, su bazlıdır ve silikon ya da dolgu maddesi içermez.
• S: PPF (Boya Koruma Filmi) öncesi bu ürünü kullanmak neden önemli? 
C: Sanılanın aksine PPF, şeffaf olsa da altındaki kusurları göstermek yerine kapatma ve gizleme eğilimindedir. Asıl tehlike burada başlar. Filmin yapışkanı, çizikler ve pürüzlerle dolu bir yüzeye homojen bir şekilde tutunamaz. Bu durum, filmin ömrünü kısaltabileceği gibi, ilerideki söküm işlemlerinde çok ciddi riskler doğurur. Q²M Compound+ Plus REDEFINED ile başlayan yüzeyi tamamen pürüzsüz ve kusursuz hale getirme işlemi, PPF'in yüzeye maksimum düzeyde yapışmasını garanti eder ve gelecekteki söküm işlemlerini güvenli kılar.

GYEON İLE VERİMLİLİK VE MÜKEMMEL SONUÇ, HER DEFASINDA."
Q2M-CM1000M,"4000-5000 OPM) çıkararak ve hafif basınç uygulayarak ürün neredeyse kaybolana kadar çapraz hareketlerle çalışın. 
4. Kontrol ve Temizlik: Yüzeydeki kalıntıları GYEON veya MG PADS marka kaliteli bir mikrofiber bezle dikkatlice silin. Yüzeyin gerçek durumunu görmek için GYEON Q²M Prep ile tüm polisaj yağlarından arındırın. 

Önerilen Polisaj Sistem Bileşenleri

Yapılan düzeltmenin kalıcılığını sağlamak ve parlaklığı en üst seviyeye çıkarmak için:
Ürün Amaç Sistemdeki Rolü
GYEON Q²M Prep Polisaj Yağı Temizliği Bir sonraki adıma geçmeden önce yüzeyin tamamen temiz olmasını sağlar.
GYEON Q² Primer AIO Koruma ve Bitiş Tek adımda hafif kusurları gideren, parlatan ve SiO2 koruma sağlayan bir alternatiftir. 
GYEON Q² Wax Son Kat Koruma & Parlaklık Elde edilen düzeltmeyi ve parlaklığı koruma altına almak için ideal Gyeon çözümüdür.
GYEON PolishWipe Kalıntı Temizliği Yüksek kaliteli yapısıyla kalıntıları çiziğe neden olmadan güvenle temizler.

Sıkça Sorulan Sorular (Profesyonel Odaklı FAQ)

• S: Ürün dolgu maddesi veya silikon içeriyor mu? 
C: Hayır. Q²M Compound, su bazlıdır ve silikon ya da dolgu maddesi içermez. Bu da onu boyahane güvenli (bodyshop safe) yapar. 
• S: Hangi tür boyalar için uygundur? 
C: Ürün sert, orta ve yumuşak boya tiplerinin tümü için uygundur. 
• S: PPF (Boya Koruma Filmi) öncesi bu ürünü kullanmak neden önemli? 
C: Sanılanın aksine PPF, şeffaf olsa da altındaki kusurları göstermek yerine kapatma ve gizleme eğilimindedir. Asıl tehlike burada başlar. Filmin yapışkanı, çizikler ve pürüzlerle dolu bir yüzeye homojen bir şekilde tutunamaz. Bu durum, filmin ömrünü kısaltabileceği gibi, ilerideki söküm işlemlerinde çok ciddi riskler doğurur. Q²M Compound ile yüzeyi tamamen pürüzsüz ve kusursuz hale getirme işlemi, PPF'in yüzeye maksimum düzeyde yapışmasını garanti eder ve gelecekteki söküm işlemlerini güvenli kılar.

GYEON İLE VERİMLİLİK VE MÜKEMMEL SONUÇ, HER DEFASINDA."
Q2M-PO1000M,"larından arındırın. 

Önerilen Polisaj Sistem Bileşenleri

Ürün Amaç Sistemdeki Rolü
GYEON Q²M Prep Cila Yağı Temizliği Bir sonraki adıma geçmeden önce yüzeyin tamamen temiz olmasını sağlar. 
GYEON Q²M Compound İlk Adım Çizik Giderme Q²M Polish öncesinde, daha derin kusurları gidermek için kullanılan ağır kesim pastadır.
GYEON Q² CanCoat EVO Son Kat Koruma & Parlaklık Elde edilen parlaklığı aylarca koruma altına alan, uygulaması kolay bir SiO2 bazlı koruyucudur.
GYEON PolishWipe Kalıntı Temizliği Yüksek kaliteli yapısıyla kalıntıları çiziğe neden olmadan güvenle temizler. 

Sıkça Sorulan Sorular (Profesyonel Odaklı FAQ)

• S: Bu ürünün kesim gücü var mı, yoksa sadece bir parlatıcı mı? 
C: Evet, Q²M Polish orta seviyede bir kesim gücüne sahiptir. Bu sayede sadece parlatmakla kalmaz, aynı zamanda hafif ve orta dereceli kusurları da giderebilir. 
• S: Ürün dolgu maddesi veya silikon içeriyor mu? 
C: Hayır. Q²M Polish, su bazlıdır ve silikon ya da dolgu maddesi içermez. 
• S: Bu cilayı kullandıktan sonra final/bitiş cilası kullanmam gerekir mi? 
C: Çoğu durumda hayır. Ürünün bıraktığı harika ve parlak yüzey, genellikle sadece bitiş amaçlı bir cila kullanma ihtiyacını ortadan kaldırır. 
• S: PPF (Boya Koruma Filmi) öncesi bu ürünü kullanmak neden önemli? 
C: Sanılanın aksine PPF, şeffaf olsa da altındaki kusurları göstermek yerine kapatma ve gizleme eğilimindedir. Asıl tehlike burada başlar. Filmin yapışkanı, çizikler ve pürüzlerle dolu bir yüzeye homojen bir şekilde tutunamaz. Bu durum, filmin ömrünü kısaltabileceği gibi, ilerideki söküm işlemlerinde çok ciddi riskler doğurur. Q²M Polish ile yüzeyi pürüzsüz ve parlak hale getirme işlemi, PPF'in yüzeye maksimum düzeyde yapışmasını garanti eder ve gelecekteki söküm işlemlerini güvenli kılar.

GYEON İLE VERİMLİLİK VE MÜKEMMEL SONUÇ, HER DEFASINDA."
22200.261.001,"k derin ve yoğun ise veya maksimum kesim gücü önceliğiniz ise Menzerna 300 daha doğru bir tercih olacaktır. Ancak bu ürünün VOC içeren standart formül olduğunu unutmayın.
• Daha Yüksek Parlaklık ve Denge: Menzerna Cut Force Pro Eğer projenizde parlaklık seviyesi, kesim gücünden bir adım daha önemliyse ve tek adımda mümkün olan en parlak yüzeyi elde etmek istiyorsanız Cut Force Pro ideal bir alternatiftir.

Pro-Tip: Gerçek Sonucu Görün

Menzerna ürünleri silikon ve dolgu maddesi içermediğinden, gördüğünüz sonuç gerçektir. Ancak emin olmak ve bir sonraki adıma (örneğin koruma) mükemmel temizlikte bir yüzeyle başlamak için, polisaj sonrası yüzeyi GYEON Q²M Prep veya INNOVACAR D2 CHECK gibi bir (IPA) bazlı temizleyici ile silin. Bu ürünler, yüzeydeki tüm polisaj yağlarını arındırarak size boyanın ""gerçek"" durumunu 0 doğrulama imkanı sunar. Bu kontrol, mükemmel ve kalıcı bir sonucun anahtarıdır.

MENZERNA İLE HER ZAMAN GERÇEK SONUÇLAR!"
22202.260.001,"0 Super Heavy Cut Eğer karşılaştığınız kusurlar Yeni 400'ün dahi sınırlarını zorlayacak kadar derinse ve tek önceliğiniz mutlak kesim gücü ise, Menzerna'nın en agresif pastası olan 300'ü kullanabilirsiniz.


Pro-Tip: Gerçek Sonucu Görün

Menzerna ürünleri silikon ve dolgu maddesi içermediğinden, gördüğünüz sonuç gerçektir. Ancak emin olmak ve bir sonraki adıma (örneğin hare giderme veya koruma) mükemmel temizlikte bir yüzeyle başlamak için, polisaj sonrası yüzeyi GYEON Q²M Prep veya INNOVACAR D2 CHECK gibi bir (IPA) bazlı temizleyici ile silin. Bu ürünler, yüzeydeki tüm polisaj yağlarını arındırarak size boyanın ""gerçek"" durumunu 0 doğrulama imkanı sunar. Bu kontrol, mükemmel ve kalıcı bir sonucun anahtarıdır.

MENZERNA İLE HER ZAMAN GERÇEK SONUÇLAR!"
22984.281.001,"yacak kadar derinse ve mutlak kesim gücü önceliğiniz ise, Menzerna'nın en agresif pastası olan 300'ü kullanabilirsiniz.


Pro-Tip: Gerçek Sonucu Görün

Menzerna ürünleri silikon ve dolgu maddesi içermediğinden, gördüğünüz sonuç gerçektir. Ancak emin olmak ve bir sonraki adıma (örneğin ara kat pasta veya hare giderici) mükemmel temizlikte bir yüzeyle başlamak için, polisaj sonrası yüzeyi GYEON Q²M Prep veya INNOVACAR D2 CHECK gibi bir (IPA) bazlı temizleyici ile silin. Bu ürünler, yüzeydeki tüm polisaj yağlarını arındırarak size boyanın ""gerçek"" durumunu 0 doğrulama imkanı sunar. Bu kontrol, mükemmel ve kalıcı bir sonucun anahtarıdır.


MENZERNA İLE HER ZAMAN GERÇEK SONUÇLAR!"
22828.261.001,"ipse ve çizikleriniz 2500'ün kesim gücünü aşıyorsa, Menzerna 2200 daha doğru bir seçim olacaktır. Menzerna 2500'e göre daha fazla kesim gücüne (6/10) sahiptir ve özellikle sert, çizilmeye dirençli boyalar için tasarlanmıştır.

Eğer önceliğiniz yumuşak boyalarda güvenle çalışmak ve bu adımda mümkün olan en yüksek parlaklığı elde etmek ise, Menzerna 2500 sizin için idealdir. Eğer daha sert bir vernikle ve bir tık daha derin çiziklerle mücadele ediyorsanız, Menzerna 2200'ün ekstra kesim gücü daha uygun olacaktır.


Pro-Tip: Gerçek Sonucu Görün

Menzerna ürünleri silikon ve dolgu maddesi içermediğinden, gördüğünüz sonuç gerçektir. Ancak emin olmak ve bir sonraki adıma (örneğin final cilası veya koruma) mükemmel temizlikte bir yüzeyle başlamak için, polisaj sonrası yüzeyi GYEON Q²M Prep veya INNOVACAR D2 CHECK gibi bir (IPA) bazlı temizleyici ile silin. Bu ürünler, yüzeydeki tüm polisaj yağlarını arındırarak size boyanın ""gerçek"" durumunu 0 doğrulama imkanı sunar. Bu kontrol, mükemmel ve kalıcı bir sonucun anahtarıdır.


MENZERNA İLE TAMAMEN GERÇEK SONUÇLAR!"
22992.261.001,"rün, Menzerna'nın klasik ve güvenilir final cilasıdır. Pasta işlemi sonrası oluşan hareleri ve hologramları etkili bir şekilde gidermek ve yüzeye çok parlak bir bitiş kazandırmak için idealdir. Özellikle standart ve orta sertlikteki verniklerde harika sonuçlar veren, sektör profesyonellerinin her zaman elinin altında olan dengeli bir üründür.
• Yüksek Parlaklık Alternatifi: Menzerna Super Finish 3500 Menzerna 3500, 3000'e kıyasla bir adım daha ileri giderek daha derin ve net bir parlaklık sunar. Aşındırıcılığı çok düşük olduğu için özellikle yumuşak ve hassas boyalarda güvenle kullanılır. Kolay kullanımı ve mükemmel sonuçları ile 3800'ün ""Show Car"" parlaklığına yakın bir deneyim sunan, son derece popüler bir alternatiftir.


Pro-Tip: Gerçek Sonucu Görün

Menzerna ürünleri silikon ve dolgu maddesi içermediğinden, gördüğünüz sonuç gerçektir. Ancak emin olmak ve koruma adımına mükemmel temizlikte bir yüzeyle başlamak için, polisaj sonrası yüzeyi GYEON Q²M Prep veya INNOVACAR D2 CHECK gibi bir (IPA) bazlı temizleyici ile silin. Bu ürünler, yüzeydeki tüm polisaj yağlarını arındırarak size boyanın ""gerçek"" durumunu 0 doğrulama imkanı sunar. Bu kontrol, mükemmel ve kalıcı bir sonucun anahtarıdır.


MENZERNA İLE TAMAMEN GERÇEK SONUÇLAR!"
Q2M-GP250M,"ıntıları güvenle silmek için idealdir.

Sıkça Sorulan Sorular (FAQ)

• S: Bu ürünü cam filmi üzerinde kullanabilir miyim? 
C: Hayır. Ürün, sonradan uygulanan cam filmleri için uygun değildir, sadece orijinal (OEM) renkli camlarda kullanılabilir. 
• S: Q²M Glass Polish sadece bir temizleyici mi yoksa çizik de giderir mi? 
C: Ürün öncelikli olarak çok güçlü bir kimyasal temizleyicidir. Ancak çok hafif aşındırıcılar içerdiği için hafif silecek izleri gibi yüzeysel kusurları da giderebilir. 
• S: Ürünü elle uygulamak etkili midir? 
C: Evet, ürün hem elle hem de makine ile etkili bir şekilde kullanılabilir. Makine uygulaması daha derinlemesine temizlik ve kusur giderme için tavsiye edilir.
• S: Cam su kaydırıcı kaplama uygulamadan önce bu ürünü kullanmak neden önemlidir? 
C: Q²M Glass Polish, yüzeyi derinlemesine temizleyerek camın gözeneklerini açar ve içerdiği bağlayıcı ajanlar sayesinde cam kaplamanın yüzeye çok daha güçlü tutunmasını sağlar. Bu da kaplamanın dayanıklılığını ve performansını artırır. 

GYEON İLE VERİMLİLİK VE MÜKEMMEL SONUÇ, HER DEFASINDA."
Q2M-PPR1000M,
700209,
74391,
SGGD188-02,
3229,
3224M,
3235,
ACC-SPG-2,
SGGD190,
SGGD296,
11075-RE,
Q2M-CA10P,
Q2M-CAP10P,
Q2M-MFAE,
Q2M-TA2P,
Q2M-SPE,"aha kolay, hızlı ve profesyonel hale getirin."
SGGD004,
Q2M-BL,
Q2M-LB,
Q2M-TB,
SGGD421,
SGGD049,
SGGD294,
Q2M-BPYA1000M,"ldir. 
 
 
Durula ve izle: Bathe+’ın bıraktığı boncuklar, tertemiz parlak yüzeyde dans ederken bir dahaki yıkamanın da çok daha kolay olacağını bilir ve keyfini çıkarırsın!"
Q2M-PPFW500M,
Q2M-RWYA1000M,
Q2M-EW1000M,"ölgede saklayın.
Q: ECO Wash mevcut wax/seramik kaplamayı aşındırır mı?
A: pH nötr formül kaplamayı bozmaz, aksine SiO² katkısıyla hidrofobiyi yeniler.
Q: Kışın soğuk havada kullanabilir miyim?
A: Evet; 0 °C’nin üzerindeki sıcaklıklarda güvenle uygulayabilirsiniz. Donma riskine karşı çözeltiyi ılık suyla hazırlayın.

Sudan bağımsız, çevre dostu ve parlak sonuçlu temizlik artık Q²M ECO Wash ile sadece birkaç sprey uzağınızda: seyreltin, uygulayın, kusursuz ışıltının tadını çıkarın!"
700507,
79286,"diven ile 
Maksimum Su İticilik 
Damlalık (Saf) 
3–5 damla 
- 
7 saatte maksimum etki"
79290,"ru / Su Lekesi 
1:5 
200 ml 
800 ml 
Panel bazlı, ped ile uygulanır 

 
 
Manuel Uygulama (Yoğun) 
Ekstrem Kir / Saf Kullanım 
Konsantre 
1000 ml 
0 ml 
Sadece kısa süreli uygulama"
71490,
701003,
71180,
73575,
701062,
Q2M-FYA4000M,
Q2M-BYA4000M,
Q2M-RW1000M,
Q2M-TWYA500M,
70616,
701851,"e güneş ışığından uzakta muhafaza ediniz. 
 
 
 
 
 
 
 
 
 
Uygulama Yöntemi 
Amaç / Kirlilik Seviyesi 
Önerilen Seyreltme Oranı 
Ürün Miktarı (1L Çözelti için) 
Su Miktarı (1L Çözelti için) 
Notlar 

 
 
 
 
Basınçlı Pompa / Kova 
Genel Temizlik 
1:9 
100 ml 
900 ml 
 

 
 
Basınçlı Pompa / Kova 
İnatçı Kir 
1:5 
170 ml 
830 ml 
 

 
 
Manuel Yıkama 
Bakım Yıkaması 
1:50 
20 ml 
980 ml 
 

 
 
Köpük Tabancası (Foam Lance) 
Standart / Ön Yıkama 
1:3’e kadar 
250 ml’ye kadar 
750 ml 
Gerçek seyreltme ? 1:15 – 1:60"
75021,
701980,
70942,
700387,
72042,
70640,
74258,
78784,
79284,
700508,
701422,
79281,
Q2-PLE50M,
Q2-SLE50M,sertlik şimdi tek kutuda!
Q2-MTEL50M,
Q2-CCE200M,"t, gölgede ve rüzgârsız ortamda; ilk 12 saat su temasından koruyun. 
 
 
 
 Soru: PPF veya vinil üzerinde kullanılır mı? 
 
 
 
 Cevap: Evet uygundur. 
 
 
 
Aracınızı dakikalar içinde koruma ve parlaklıkla buluşturun: Q² CanCoat EVO 9H ile GYEON’un seramik dünyasını keşfetmeye başla! 
 
 
 
 
Aracınızı dakikalar içinde koruma ve parlaklıkla buluşturun: Q² CanCoat EVO 9H Gyeon’un seramik dünyasını keşfetmeye başla!"
