target_sku,section_name,category_name,question_tr,answer_tr,question_en,answer_en,url,article_id
Q2-LCR500M,Q² LeatherCoat REDEFINED,Q² Collection,High spot görüyorum — neden (ve ne yapmalıyım)?,Etkilenen alana az miktarda ürün tekrar uygulayın. Gerekirse deriyi temizleyin ve kaplamayı yeniden uygulayın.,I can see high spots - why (and what to do) ?,Re-apply a small amount of product to the affected area. If necessary clean leather and reapply the coating.,https://gyeon.zendesk.com/hc/en-us/articles/360000933137-I-can-see-high-spots-why-and-what-to-do,360000933137
Q2-LSE50M,Q² LeatherShield EVO,Q² Collection,Uygulamadan sonra leke görüyorum — ne yapmalıyım?,Etkilenen alana az miktarda ürün tekrar uygulayın. Gerekirse deriyi temizleyin ve kaplamayı yeniden uygulayın.,I can spot sudges after the application - what to do?,Re-apply a small amount of product to the affected area. If necessary clean leather and reapply the coating,https://gyeon.zendesk.com/hc/en-us/articles/360000941318-I-can-spot-sudges-after-the-application-what-to-do,360000941318
Q2-VE20M,Q² View EVO,Q² Collection,Uygulamadan sonra 'bulutlar' görüyorum — ne yapmalıyım?,Kaplamayı nemli bir bezle silin ve tekrar kontrol edin.,"I see ""clouds"" after the application - what to do? ",Wipe the coating with a damp cloth and check again.,https://gyeon.zendesk.com/hc/en-us/articles/360000940518-I-see-clouds-after-the-application-what-to-do,360000940518
Q2-TRE30M,Q² Trim EVO,Q² Collection,High spot görüyorum — neden (ve ne yapmalıyım)?,Uygulamadan hemen sonra Q²M Prep ve Q²M Polishwipe ile birden fazla silim yardımcı olabilir.,I can see high spots - why (and what to do) ?,"Right after the application, multiple wipes with Q²M Prep & Q²M Polishwipe might help.",https://gyeon.zendesk.com/hc/en-us/articles/360000933158-I-can-see-high-spots-why-and-what-to-do,360000933158
Q2-RE30M,Q² Rim EVO,Q² Collection,High spot görüyorum — neden (ve ne yapmalıyım)?,Uygulamadan hemen sonra Q²M Prep ve Q²M Polishwipe EVO ile birden fazla silim yardımcı olabilir. Ertesi gün polisaj makinesi kullanmanız gerekecektir.,I can see high spots - why (and what to do) ?,"Right after the application, multiple wipes with Q²M Prep & Q²M Polishwipe EVO might help.",https://gyeon.zendesk.com/hc/en-us/articles/360000922777-I-can-see-high-spots-why-and-what-to-do,360000922777
Q2-BS30M,Q² Booster,Q² Collection,Üst kat olarak kullanılabilir mi?,"Evet, bu ürünün tek işlevi budur. Q² Booster bağımsız bir kaplama değildir.",Can it be used as top coat ?,"Yes, it's the only function of this product. Q² Booster is not a stand-alone coating.",https://gyeon.zendesk.com/hc/en-us/articles/360000930338-Can-it-be-used-as-top-coat,360000930338
Q2-SLE50M,Q² Syncro EVO,Q² Collection,Birden fazla kat uygulayabilir miyim?,"Evet — Q² Mohs EVO bazı 1 kat gerektirir (2. kat opsiyonel ve izinlidir), Q² Skin üst katı da katmanlanabilir.",Can I apply multiple layers? ,Yes - The Q² Mohs EVO base requires 1 layer (2 are optional and allowed) and the Q² Skin top coat can be layered as well.,https://gyeon.zendesk.com/hc/en-us/articles/360000911657-Can-I-apply-multiple-layers,360000911657
Q2-MLE100M,Q² Mohs EVO,Q² Collection,Kaplama uygulamadan önce boya korreksiyonu zorunlu mu?,Hayır — ancak yüzey hazırlığı (dekontaminasyon ve yağ alma) kritik öneme sahiptir. Daha fazla ürüne özel detay için kullanım kılavuzunu takip edin.,Is paint correction obligatory before applying the coating ?,No - however surface preparation (decontamination and degreasing) are crucial. Follow the user manual for more product specific details.,https://gyeon.zendesk.com/hc/en-us/articles/360000910737-Is-paint-correction-obligatory-before-applying-the-coating,360000910737
Q2-MTEL50M,Q² Matte EVO,Q² Collection,Bu ürünle kaplı bir araç nasıl bakım görür?,"Normal yıkama rutininizde Q²M Bathe+ ve Q²M WetCoat kullanmanızı öneririz. Kaplama, pH 2 ile 11 arası kimyasallara dirençli olarak tasarlanmıştır.",How to maintain a vehicle coated with that product ?,We recommend the use of Q²M Bathe+ and Q²M Wetcoat during your normal wash routine. The coating is designed to resist chemicals ph. within 2 to 11.,https://gyeon.zendesk.com/hc/en-us/articles/360000906578-How-to-maintain-a-vehicle-coated-with-that-product,360000906578
Q2-PLE50M,Q² Pure EVO,Q² Collection,Kaplama uygulamadan önce boya korreksiyonu zorunlu mu?,Hayır — ancak yüzey hazırlığı (dekontaminasyon ve yağ alma) kritik öneme sahiptir. Daha fazla ürüne özel detay için kullanım kılavuzunu takip edin.,Is paint correction obligatory before applying the coating ?,No - However surface preparation (decontamination and degreasing) are crucial. Follow the user manual for more product specific details.,https://gyeon.zendesk.com/hc/en-us/articles/360000903838-Is-paint-correction-obligatory-before-applying-the-coating,360000903838
Q2-OLE100M,Q² One EVO,Q² Collection,Üst kaplama olarak kullanılabilir mi?,Hayır.,Can it be used as top coating ?,No.,https://gyeon.zendesk.com/hc/en-us/articles/360000902818-Can-it-be-used-as-top-coating,360000902818
_BRAND:gyeon:q2_general,Q² CanCoat Pro EVO,Q² Collection,Q² CanCoat Pro EVO boyamın bitişini değiştirir mi?,"Parlaklık ve görsel kayganlık, tipik bir 'cam-gibi-parlaklık' sağlar. Renk ve derinlik artışından da yararlanırsınız.",Will Q² CanCoat Pro EVO alter the finish of my paintwork?,"It will provide gloss and visual slickness, a typical ""glass-like-gloss"". You will benefit from enhanced colour and depth as well.",https://gyeon.zendesk.com/hc/en-us/articles/360000894977-Will-Q-CanCoat-Pro-EVO-alter-the-finish-of-my-paintwork,360000894977
Q2-CCE200M,Q² CanCoat EVO,Q² Collection,Q² CanCoat EVO boyamın bitişini değiştirir mi?,"Parlaklık ve görsel kayganlık, tipik bir 'cam-gibi-parlaklık' sağlar. Renk ve derinlik artışından da yararlanırsınız.",Will Q² CanCoat EVO alter the finish of my paintwork?,"It will provide gloss and visual slickness, a typical ""glass-like-gloss"". You will benefit from enhanced colour and depth as well.",https://gyeon.zendesk.com/hc/en-us/articles/360000901638-Will-Q-CanCoat-EVO-alter-the-finish-of-my-paintwork,360000901638
Q2-QV120M,Q² QuickView,Q² Collection,Üzerine ek kaplama/wax/sealant uygulayabilir miyim?,Hayır.,Can I top it off with additional coating/wax/sealant?,No,https://gyeon.zendesk.com/hc/en-us/articles/360015829718-Can-I-top-it-off-with-additional-coating-wax-sealant,360015829718
Q2-W175G,Q² Wax,Q² Collection,Bu ürünle kaplı bir araç nasıl bakım görür?,"Normal yıkama rutininizde Q²M Bathe+, Q²M Cure, Q²M Ceramic Detailer veya Q²M WetCoat kullanmanızı öneririz. Q² Wax'ın özellikleri azalmaya başlarsa — aracı Q²M Restart Wash ile yıkayın ve üzerine bir kat daha uygulayın.",How to maintain a vehicle coated with that product ?,"We recommend the use of Q²M Bathe+, Q²M Cure, Q²M Ceramic Detailer or Q²M Wetcoat during your normal wash routine. If the properties of the Q² Wax start to diminish - wash your car with Q²M Restart Wash and re-apply a layer over it.",https://gyeon.zendesk.com/hc/en-us/articles/360015806958-How-to-maintain-a-vehicle-coated-with-that-product,360015806958
Q2-PPFE50M,Q² PPF EVO,Q² Collection,High spot görüyorum — Neden (ve ne yapmalıyım)?,Uygulamadan hemen sonra Q²M Prep ve Q²M Polishwipe ile birden fazla silim yardımcı olabilir. Ertesi gün polisaj makinesi kullanmanız gerekecektir. Ancak çıkarma yalnızca parlak PPF veya sargıda mümkündür.,I can see high spots - Why (and what to do) ?,"Right after the application, multiple wipes with Q²M Prep & Q²M Polishwipe might help. On the next day, you will have to use a machine polisher. However, the removal is possible only on glossy PPF or wrap.",https://gyeon.zendesk.com/hc/en-us/articles/360003977838-I-can-see-high-spots-Why-and-what-to-do,360003977838
Q2-LCR500M,Q² LeatherCoat REDEFINED,Q² Collection,Bu ürünle kaplı araç döşemesi nasıl bakım görür?,Q²M LeatherCleaner Natural kullanmanızı öneririz (Q²M Leather Set'te birlikte bulunur).,How to maintain a vehicle upholstery coated with that product ?,We recommend the use of Q²M LeatherCleaner Natural (available together in Q²M Leather Set),https://gyeon.zendesk.com/hc/en-us/articles/360000933097-How-to-maintain-a-vehicle-upholstery-coated-with-that-product,360000933097
Q2-LSE50M,Q² LeatherShield EVO,Q² Collection,Derim kirlendi — kaplama çalışmıyor mu?,"Hayır. Derinin üst yüzeyi zamanla kontamine olur, ancak bu kontaminasyon kaplamanın üzerinde kalacaktır.",My leather got dirty - does the coating not work ?,"No. The top surface of the leather will be contaminated over time, however, this contamination will be stuck on top of the coating",https://gyeon.zendesk.com/hc/en-us/articles/360000941298-My-leather-got-dirty-does-the-coating-not-work,360000941298
Q2-FCNA400M,Q² FabricCoat,Q² Collection,Su artık boncuklanmıyor — ne yapmalıyım?,Boncuklanma korumanın tek göstergesi değildir. Q² FabricCoat boncuklanmasa bile yüzeyi UV ışınlarına ve renk değişikliğine karşı korur.,Water does not bead anymore – what to do ?,"Beading is not the only factor to judge protection. Even if Q² FabricCoat does not bead, it will protect the surface against UV rays and colour change.",https://gyeon.zendesk.com/hc/en-us/articles/360000940838-Water-does-not-bead-anymore-what-to-do,360000940838
Q2-VE20M,Q² View EVO,Q² Collection,Su artık akmıyor — ne yapmalıyım?,Cam yüzeyini kontaminasyon açısından kontrol edin. Çıkarmak için kil çubuğu kullanın. Camı Q²M Glass ile temizleyin.,Water does not run off anymore - what to do ?,Check the glass surface for contamination. Use a clay bar to remove it. Clean glass with Q²M Glass.,https://gyeon.zendesk.com/hc/en-us/articles/360000940458-Water-does-not-run-off-anymore-what-to-do,360000940458
Q2-TRE30M,Q² Trim EVO,Q² Collection,"Boncuklanma kayboldu, ne yapmalıyım?","Önce — endişelenmeyin. Su itme, kaplamanın varlığının tek göstergesi değildir. Yüzeyi dekontamine edin ve itme özelliğini kontrol edin. Eğer gittiyse ama renk yoğunluğu hâlâ gereken seviyede ise, kaplı paneli bir süre daha bırakabilirsiniz. Diğer durumlarda — paneli yeniden kaplayın.","The beading is gone, what to do ?","Most of all - do not worry. Water repellency is not the only indicator of the coatings presence. Decontaminate the surface and check repellency. If it's gone, but the intensity of the colour is still on the required level, you may leave the coated panel for another period of time. In any other case - recoat the panel.",https://gyeon.zendesk.com/hc/en-us/articles/360000933038-The-beading-is-gone-what-to-do,360000933038
Q2-RE30M,Q² Rim EVO,Q² Collection,"Boncuklanma kayboldu, ne yapmalıyım?",Tam bir bakım yıkamasından sonra Q²M Iron REDEFINED ve Q²M Tar REDEFINED ile yüzey dekontaminasyonu yapın. İtme özelliğini geri kazanmak için Q²M WetCoat veya Q²M Cure REDEFINED kullanın.,"The beading is gone, what to do ?",Proceed with surface decontamination with Q²M Iron REDEFINED & Q²M Tar REDEFINED after a complete maintenance wash. Use Q²M WetCoat or Q²M Cure REDEFINED to restore repellency.,https://gyeon.zendesk.com/hc/en-us/articles/360000932278-The-beading-is-gone-what-to-do,360000932278
Q2-BS30M,Q² Booster,Q² Collection,Üzerine ek kaplama uygulayabilir miyim?,Hayır.,Can I top it off with additional coating ?,No,https://gyeon.zendesk.com/hc/en-us/articles/360000920557-Can-I-top-it-off-with-additional-coating,360000920557
Q2-SLE50M,Q² Syncro EVO,Q² Collection,PPF/Mat boya/Vinil/Karbon Fiber üzerine uygulanabilir mi?,"Evet, mat bitiş yüzeyler hariç.",Can it be apply on PPF/Matte Paint/Vinyl/Carbon Fiber ?,"Yes, except for matte finished surfaces.",https://gyeon.zendesk.com/hc/en-us/articles/360000921678-Can-it-be-apply-on-PPF-Matte-Paint-Vinyl-Carbon-Fiber,360000921678
Q2-MLE100M,Q² Mohs EVO,Q² Collection,"Boncuklanma kayboldu, ne yapmalıyım?",Tam bir bakım yıkamasından sonra Q²M Iron REDEFINED ve Q²M Tar REDEFINED ile yüzey dekontaminasyonu yapın. Başlangıçtaki itme özelliğini geri kazanmak için Q²M Cure REDEFINED veya Q²M WetCoat kullanın.,"The beading is gone, what to do ?",Proceed with surface decontamination with Q²M Iron REDEFINED & Q²M Tar REDEFINED after a complete maintenance wash. Use Q²M Cure REDEFINED or Q²M WetCoat to restore initial repellency.,https://gyeon.zendesk.com/hc/en-us/articles/360000920918-The-beading-is-gone-what-to-do,360000920918
Q2-MTEL50M,Q² Matte EVO,Q² Collection,High spot görüyorum — Ne yanlış yaptım? Şimdi ne yapmalıyım?,Zamanında fark edilirse Q²M Prep ve Q²M Polishwipe ile birden fazla silim sorunu çözer. Mat bitiş boyalarda çok dikkatli olun — ürünü doğru uygulamak için yalnızca tek şansınız var.,I can see high spots – What I did wrong ? What to do now ?,Multiples wipe with Q²M Prep & Q²M Polishwipe shall solve the issue once spotted in time. Please be very careful with matte finished paints - you have only one chance to apply to product correctly.,https://gyeon.zendesk.com/hc/en-us/articles/360000899877-I-can-see-high-spots-What-I-did-wrong-What-to-do-now,360000899877
Q2-PLE50M,Q² Pure EVO,Q² Collection,Üst kaplama olarak kullanılabilir mi?,Hayır.,Can it be used as top coating ?,No.,https://gyeon.zendesk.com/hc/en-us/articles/360000903738-Can-it-be-used-as-top-coating,360000903738
Q2-OLE100M,Q² One EVO,Q² Collection,Bu ürünle kaplı bir araç nasıl bakım görür?,"Normal yıkama rutininizde Q²M Bathe+, Q²M Cure veya Q²M WetCoat kullanmanızı öneririz. Kaplama pH 2 ile 11 arası kimyasallara dirençli olarak tasarlanmıştır, bu nedenle günlük bakım sırasında çok çeşitli kimyasallara izin verilir.",How to maintain a vehicle coated with that product ?,"We recommend the use of Q²M Bathe+, Q²M Cure or Q²M Wetcoat during your normal wash routine. The coating is designed to resist chemicals with a Ph. within 2 to 11, so a wide variety of specifics is allowed during daily maintenance.",https://gyeon.zendesk.com/hc/en-us/articles/360000895457-How-to-maintain-a-vehicle-coated-with-that-product,360000895457
_BRAND:gyeon:q2_general,Q² CanCoat Pro EVO,Q² Collection,Çıkarılabilir mi?,Evet — çıkarmak için kesim pastası ve uygun bir ped ile mekanik cilalama gerekir.,Can it be removed?,Yes - removal will require mechanical polishing with a compound and appropriate polishing pad.,https://gyeon.zendesk.com/hc/en-us/articles/360000894797-Can-it-be-removed,360000894797
Q2-CCE200M,Q² CanCoat EVO,Q² Collection,Boyaya zarar veren su lekeleri veya kuş pisliklerini önler mi?,"Hiçbir şey su lekelerini tamamen önleyemez. Çıplak, wax'lı ve kaplı boyada da oluşabilirler. Kuş artığı bilinen en sert ve en zarar verici maddelerden biridir. Bir kaplama, korozyon olmadan kontaminasyonu temizlemeniz için size gerekli zamanı kazandırır. Ancak, sıcak bir yaz gününde saatlerce bırakırsanız, hiçbir kaplama hasarı tamamen önleyemez.",Will it prevent water marks or bird droppings damaging paint ?,"Nothing can entirely prevent water marks. They can happen on bare, waxed and coated paint as well. Bird residue is one of the harshest and most damaging substance known. A coating will provide you with the time necessary to remove the contamination without etching. However, once you leave it on a hot summer day for many hours, not even a coating will prevent damage entirely.",https://gyeon.zendesk.com/hc/en-us/articles/360000894137-Will-it-prevent-water-marks-or-bird-droppings-damaging-paint,360000894137
Q2-QV120M,Q² QuickView,Q² Collection,Açıldıktan sonra ürün nasıl saklanır? Raf ömrü ne kadardır?,"Kuru, karanlık ve serin bir yerde saklayın. Lütfen donmasına izin vermeyin ve güneş ışığına maruz bırakmayın. Açıldıktan sonra 'kullanılabilir' raf ömrü 2 yıldır.",How to store the product after use? What is the shelf life once opened?,"Store it in a dry, dark, and cool place. Please do not allow it to freeze or be exposed to sunlight. Once opened, it has a ""good-to-use"" shelf life of 2 years.",https://gyeon.zendesk.com/hc/en-us/articles/360015827998-How-to-store-the-product-after-use-What-is-the-shelf-life-once-opened,360015827998
Q2-W175G,Q² Wax,Q² Collection,Q² Wax boyamın bitişini değiştirir mi?,"Parlaklık ve görsel kayganlık, tipik bir 'cam-gibi-parlaklık' sağlar. Renk ve derinlik artışından da yararlanırsınız.",Will Q² Wax alter the finish of my paintwork?,"It will provide gloss and visual slickness, a typical ""glass-like-gloss"". You will benefit from enhanced colour and depth as well.",https://gyeon.zendesk.com/hc/en-us/articles/360015822338-Will-Q-Wax-alter-the-finish-of-my-paintwork,360015822338
Q2-PPFE50M,Q² PPF EVO,Q² Collection,Kaplama uygulamadan önce boya korreksiyonu zorunlu mu?,"Hayır — ancak yüzey hazırlığı (dekontaminasyon ve yağ alma) kritik öneme sahiptir.

Daha fazla ürüne özel detay için kullanım kılavuzunu takip edin.",Is paint correction obligatory before applying the coating ?,"No - however surface preparation (decontamination and degreasing) are crucial.

Follow the user manual for more product-specific details.",https://gyeon.zendesk.com/hc/en-us/articles/360003977658-Is-paint-correction-obligatory-before-applying-the-coating,360003977658
Q2-LSE50M,Q² LeatherShield EVO,Q² Collection,Açıldıktan sonra ürün nasıl saklanır? Raf ömrü ne kadardır?,"Kuru, karanlık ve serin bir yerde saklayın. Lütfen donmasına izin vermeyin ve güneş ışığına maruz bırakmayın. Açıldıktan sonra 'kullanılabilir' raf ömrü 2 yıldır.",How to store the product after use? What is the shelf life once opened?,"Store it in a dry, dark, and cool place. Please do not allow it to freeze or be exposed to sunlight. Once opened, it has a ""good-to-use"" shelf life of 2 years.",https://gyeon.zendesk.com/hc/en-us/articles/360000941238-How-to-store-the-product-after-use-What-is-the-shelf-life-once-opened,360000941238
Q2-FCNA400M,Q² FabricCoat,Q² Collection,Çıkarılabilir mi?,Yalnızca tekstil temizleyici ve emici vakum cihazı kullanarak.,Can it be removed?,Only with the use of a textile cleaner and with the use of an extraction vacuum cleaner.,https://gyeon.zendesk.com/hc/en-us/articles/360000940818-Can-it-be-removed,360000940818
Q2-VE20M,Q² View EVO,Q² Collection,Çıkarılabilir mi?,Evet — ürün paketinde bulunan Q²M Glass Polish kullanımı gerekir.,Can it be removed?,Yes - it will require the use of Q²M Glass Polish included in the product package.,https://gyeon.zendesk.com/hc/en-us/articles/360000931317-Can-it-be-removed,360000931317
Q2-TRE30M,Q² Trim EVO,Q² Collection,Açıldıktan sonra ürün nasıl saklanır? Raf ömrü ne kadardır?,"Kuru, karanlık ve serin bir yerde saklayın. Lütfen donmasına izin vermeyin ve güneş ışığına maruz bırakmayın. Açıldıktan sonra 'kullanılabilir' raf ömrü 2 yıldır.",How to store the product after use? What is the shelf life once opened?,"Store it in a dry, dark, and cool place. Please do not allow it to freeze or be exposed to sunlight. Once opened, it has a ""good-to-use"" shelf life of 2 years.",https://gyeon.zendesk.com/hc/en-us/articles/360000932918-How-to-store-the-product-after-use-What-is-the-shelf-life-once-opened,360000932918
Q2-RE30M,Q² Rim EVO,Q² Collection,Açıldıktan sonra ürün nasıl saklanır? Raf ömrü ne kadardır?,"Kuru, karanlık ve serin bir yerde saklayın. Lütfen donmasına izin vermeyin ve güneş ışığına maruz bırakmayın. Açıldıktan sonra 'kullanılabilir' raf ömrü 2 yıldır.",How to store the product after use? What is the shelf life once opened?,"Store it in a dry, dark, and cool place. Please do not allow it to freeze or be exposed to sunlight. Once opened, it has a ""good-to-use"" shelf life of 2 years.",https://gyeon.zendesk.com/hc/en-us/articles/360000922677-How-to-store-the-product-after-use-What-is-the-shelf-life-once-opened,360000922677
Q2-BS30M,Q² Booster,Q² Collection,"Boncuklanma kayboldu, ne yapmalıyım?",Tam bir bakım yıkamasından sonra Q²M Iron ve Q²M Tar ile yüzey dekontaminasyonu yapın. Başlangıçtaki itme özelliğini geri kazanmak için Q²M Cure veya Q²M WetCoat kullanın.,"The beading is gone, what to do ?",Proceed with surface decontamination with Q²M Iron & Q²M Tar after a complete maintenance wash. Use Q²M Cure or Q²M WetCoat to restore initial repellency.,https://gyeon.zendesk.com/hc/en-us/articles/360000930378-The-beading-is-gone-what-to-do,360000930378
Q2-SLE50M,Q² Syncro EVO,Q² Collection,High spot görüyorum — neden (ve ne yapmalıyım)?,Uygulamadan hemen sonra Q²M Prep ve Q²M Polishwipe ile birden fazla silim yardımcı olabilir. Ertesi gün polisaj makinesi kullanmanız gerekecektir.,I can see high spots - why (and what to do) ?,"Right after the application, multiple wipes with Q²M Prep & Q²M Polishwipe might help. On the next day, you will have to use a machine polisher.",https://gyeon.zendesk.com/hc/en-us/articles/360000912317-I-can-see-high-spots-why-and-what-to-do,360000912317
Q2-MLE100M,Q² Mohs EVO,Q² Collection,Boyaya zarar veren su lekeleri veya kuş pisliklerini önler mi?,Evet — ancak bu tür kontaminasyonlar mümkün olan en kısa sürede boyadan temizlenmelidir.,Will it prevent water marks or bird droppings damaging paint ?,Yes - however such contamination must be removed from the paint as soon as possible.,https://gyeon.zendesk.com/hc/en-us/articles/360000902197-Will-it-prevent-water-marks-or-bird-droppings-damaging-paint,360000902197
Q2-MTEL50M,Q² Matte EVO,Q² Collection,Su lekesi/kuş pisliğinin boyama yapışmasını önler mi?,Tam bir bakım yıkamasından sonra Q²M Iron ve Q²M Tar ile yüzey dekontaminasyonu yapın. Başlangıçtaki itme özelliğini geri kazanmak için Q²M Cure Matte kullanın.,Will it prevent WaterSpot/Bird Drops to stick to my car paint ?,Proceed with surface decontamination with Q²M Iron & Q²M Tar after a complete maintenance wash. Use Q²M Cure Matte to restore initial repellency.,https://gyeon.zendesk.com/hc/en-us/articles/360000899717-Will-it-prevent-WaterSpot-Bird-Drops-to-stick-to-my-car-paint,360000899717
