target_sku,section_name,category_name,question_tr,answer_tr,question_en,answer_en,url,article_id
_BRAND:gyeon:q2m_general,Q²M Glass,Q²M Collection,Nereye uygulanır?,Bu solüsyon aracınızın her cam yüzeyine uygulanmak üzere tasarlanmıştır.,Where to apply ?,This solution is designed to be applied on every glass surface of your vehicle,https://gyeon.zendesk.com/hc/en-us/articles/360000982617-Where-to-apply,360000982617
Q2M-CRYA250M,Q²M Cure REDEFINED,Q²M Collection,Nereye uygulanır?,Bu solüsyon her boyalı parlak yüzeye uygulanmak üzere tasarlanmıştır.,Where to apply ?,This solution is designed to be applied on every painted gloss surface,https://gyeon.zendesk.com/hc/en-us/articles/360000982497-Where-to-apply,360000982497
Q2M-CMR500M,Q²M Cure Matte REDEFINED,Q²M Collection,Nereye uygulanır?,Bu solüsyon her boyalı yüzeye uygulanmak üzere tasarlanmıştır.,Where to apply ?,This solution is designed to be applied on every painted surface,https://gyeon.zendesk.com/hc/en-us/articles/360000991538-Where-to-apply,360000991538
_BRAND:gyeon:q2m_general,Q²M WetCoat Essence,Q²M Collection,Nereye uygulanır?,"Bu solüsyon, yıkama sürecinde temizlenmiş ancak hâlâ ıslak olan her yüzeye uygulanmak üzere tasarlanmıştır.",Where to apply ?,This solution is designed to be applied over every surface cleaned but still wet part of any vehicle during the wash process.,https://gyeon.zendesk.com/hc/en-us/articles/360000981857-Where-to-apply,360000981857
Q2M-WCYA4000M,Q²M WetCoat,Q²M Collection,Nereye uygulanır?,"Bu solüsyon, yıkama sürecinde temizlenmiş ancak hâlâ ıslak olan her yüzeye uygulanmak üzere tasarlanmıştır.",Where to apply ?,This solution is designed to be applied over every surface cleaned but still wet part of any vehicle during the wash process.,https://gyeon.zendesk.com/hc/en-us/articles/360000991258-Where-to-apply,360000991258
Q2M-PO1000M,Q²M Polish,Q²M Collection,Nereye uygulanır?,Ağır korreksiyon gerektiren tüm boyalı yüzeylere.,Where to apply ?,On all painted surfaces required with heavy correction.,https://gyeon.zendesk.com/hc/en-us/articles/360000981517-Where-to-apply,360000981517
Q2M-CM1000M,Q²M Compound,Q²M Collection,Nereye uygulanır?,Orta korreksiyon gerektiren tüm boyalı yüzeylere.,Where to apply ?,On all painted surfaces required with medium correction.,https://gyeon.zendesk.com/hc/en-us/articles/360000981357-Where-to-apply,360000981357
Q2M-CMPR1000M,Q²M Compound+ REDEFINED,Q²M Collection,Nereye uygulanır?,Ağır korreksiyon gerektiren tüm boyalı yüzeyler.,Where to apply ?,All painted surfaces required heavy correction.,https://gyeon.zendesk.com/hc/en-us/articles/360000979937-Where-to-apply,360000979937
Q2M-PYA4000M,Q²M Prep,Q²M Collection,Nereye uygulanır?,"Bu solüsyon, kauçuk ve döşeme hariç olmak üzere kaplama uygulamasından önce her yüzeye uygulanmak üzere tasarlanmıştır.",Where to apply ?,This solution is designed to be applied on every surface prior coating application at the exception of rubber and upholstery,https://gyeon.zendesk.com/hc/en-us/articles/360000962037-Where-to-apply,360000962037
Q2M-BPYA1000M,Q²M Bathe+,Q²M Collection,Nereye uygulanır?,"Bu ürün yıkama kovasında, foam gun'da veya doğrudan yıkama eldivenine seyreltilmek üzere tasarlanmıştır.",Where to apply ?,"This product is designed to be diluted in a wash bucket, foam gun or directly onto a washmitt",https://gyeon.zendesk.com/hc/en-us/articles/360000972678-Where-to-apply,360000972678
Q2M-BYA4000M,Q²M Bathe,Q²M Collection,Nereye uygulanır?,Bu ürün yıkama kovasında seyreltilmek üzere tasarlanmıştır.,Where to apply ?,This product is designed to be diluted in a wash bucket.,https://gyeon.zendesk.com/hc/en-us/articles/360000961397-Where-to-apply,360000961397
Q2M-TR4000M,Q²M Tar REDEFINED,Q²M Collection,Nereye uygulanır?,"Bu ürün, ilk yıkama sürecinden sonra dekontaminasyon sırasında aracınızın kontamine olmuş kısmına uygulanmak üzere tasarlanmıştır.",Where to apply ?,This product is designed to be applied over contaminated part of your vehicle during decontamination after initial wash process.,https://gyeon.zendesk.com/hc/en-us/articles/360000961237-Where-to-apply,360000961237
Q2M-IR4000M,Q²M Iron REDEFINED,Q²M Collection,Nereye uygulanır?,"Bu ürün, ilk yıkama sürecinden sonra dekontaminasyon sırasında aracınızın kontamine olmuş kısmına uygulanmak üzere tasarlanmıştır.",Where to apply ?,This product is designed to be applied over contaminated part of your vehicle during decontamination after initial wash process.,https://gyeon.zendesk.com/hc/en-us/articles/360000972298-Where-to-apply,360000972298
