sku,template_group,template_sub_type,specs_object
22.992.281.001,abrasive_polish,finish,"{""cut_level"":2,""finish_level"":10,""machine_compatibility"":[""Rotary"",""Orbital""],""silicone_free"":true,""gloss_level"":""Show Car Finish"",""recommended_pad_types"":[""finishing_foam_pad"",""ultra_soft_foam_pad""],""dusting_level"":null,""working_time"":null,""contains_protection"":false,""bodyshop_safe"":true,""filler_free"":true,""formula_base"":""water_based"",""abrasive_type"":""diminishing"",""safe_for_soft_paint"":true,""wipe_off_ease"":null,""grit_removal"":""P3000""}"
22.029.261.001,abrasive_polish,finish,"{""cut_level"":3,""finish_level"":9,""machine_compatibility"":[""Rotary"",""Orbital""],""silicone_free"":true,""recommended_pad_types"":[""finishing_foam_pad"",""polishing_foam_pad""],""dusting_level"":null,""working_time"":null,""contains_protection"":false,""bodyshop_safe"":true,""filler_free"":true,""formula_base"":""water_based"",""abrasive_type"":""diminishing"",""safe_for_soft_paint"":true,""wipe_off_ease"":null}"
22.748.261.001,abrasive_polish,one_step_polish,"{""cut_level"":5,""finish_level"":9,""contains_protection"":true,""machine_compatibility"":[""Rotary"",""Orbital"",""Hand""],""silicone_free"":false,""recommended_pad_types"":[""medium_cut_foam_pad"",""finishing_foam_pad""],""dusting_level"":null,""working_time"":null,""bodyshop_safe"":false,""filler_free"":true,""formula_base"":""water_based"",""abrasive_type"":null,""safe_for_soft_paint"":true,""wipe_off_ease"":null,""grit_removal"":""P3000""}"
20.144.261.001,abrasive_polish,sanding_paste,"{""cut_level"":""Sanding Grade"",""finish_level"":""Matte"",""machine_compatibility"":[""Orbital"",""Hand""],""recommended_pad_types"":[""Scotch Brite"",""Felt""],""function"":""Surface Preparation / Matting"",""silicone_free"":true,""dusting_level"":null,""working_time"":null,""contains_protection"":false,""bodyshop_safe"":true,""filler_free"":true,""formula_base"":""water_based""}"
23.003.391.001,abrasive_polish,metal_polish,"{""target_surface"":""Metal/Chrome/Steel"",""application_method"":[""Hand"",""Machine""],""cut_level"":""Medium"",""silicone_free"":true}"
Q2M-CMP1000M,abrasive_polish,heavy_cut_compound,"{""cut_level"":10,""finish_level"":4,""machine_compatibility"":[""Rotary"",""Orbital""],""silicone_free"":true,""dusting_level"":""Low"",""recommended_pad_types"":[""heavy_cut_foam_pad"",""wool_pad""],""working_time"":""Long"",""contains_protection"":false,""bodyshop_safe"":true,""filler_free"":true,""formula_base"":""water_based"",""abrasive_type"":null,""safe_for_soft_paint"":false,""wipe_off_ease"":""Easy"",""grit_removal"":""P1200+""}"
Q2M-CMPR1000M,abrasive_polish,heavy_cut_compound,"{""cut_level"":10,""finish_level"":8,""machine_compatibility"":[""Rotary"",""Orbital""],""silicone_free"":true,""dusting_level"":""Very Low"",""recommended_pad_types"":[""heavy_cut_foam_pad"",""wool_pad""],""working_time"":""Very Long"",""contains_protection"":false,""bodyshop_safe"":true,""filler_free"":true,""formula_base"":""water_based"",""abrasive_type"":""Japanese high-quality"",""safe_for_soft_paint"":false,""wipe_off_ease"":""Easy""}"
Q2M-CM1000M,abrasive_polish,heavy_cut_compound,"{""cut_level"":8,""finish_level"":8,""machine_compatibility"":[""Rotary"",""Orbital""],""silicone_free"":true,""recommended_pad_types"":[""medium_cut_foam_pad"",""heavy_cut_foam_pad""],""dusting_level"":""Very Low"",""working_time"":""Long"",""contains_protection"":false,""bodyshop_safe"":true,""filler_free"":true,""formula_base"":""water_based"",""abrasive_type"":""Japanese high-quality"",""safe_for_soft_paint"":false,""wipe_off_ease"":""Easy""}"
Q2M-PO1000M,abrasive_polish,polish,"{""cut_level"":6,""finish_level"":10,""machine_compatibility"":[""Rotary"",""Orbital""],""silicone_free"":true,""recommended_pad_types"":[""finishing_foam_pad"",""polishing_foam_pad""],""dusting_level"":""Very Low"",""working_time"":null,""contains_protection"":false,""bodyshop_safe"":true,""filler_free"":true,""formula_base"":""water_based"",""abrasive_type"":""Japanese high-quality"",""safe_for_soft_paint"":true,""wipe_off_ease"":""Easy""}"
Q2M-GP120M,abrasive_polish,glass_polish,"{""target_surface"":""Glass"",""cut_level"":""Low (for glass)"",""cleaning_power"":""High"",""machine_compatibility"":[""Rotary"",""Orbital"",""Hand""],""dusting_level"":""Very Low"",""function"":""Glass Cleaning & Preparation""}"
Q2M-PPR120M,abrasive_polish,polish,"{""target_surface"":""PPF"",""contains_protection"":true,""protection_type"":""SiO2"",""machine_compatibility"":[""Orbital"",""Hand""],""function"":""PPF Renovation & Protection""}"
22.203.281.001,abrasive_polish,heavy_cut_compound,"{""sub_type"":""heavy_cut_compound"",""cut_level"":null,""finish_level"":null,""machine_compatibility"":null,""recommended_pad_types"":null,""dusting_level"":null,""working_time"":null,""contains_protection"":null,""silicone_free"":null,""bodyshop_safe"":null,""wipe_off_ease"":null,""filler_free"":true,""formula_base"":""water_based"",""abrasive_type"":null,""safe_for_soft_paint"":false}"
22.200.261.001,abrasive_polish,heavy_cut_compound,"{""sub_type"":""heavy_cut_compound"",""cut_level"":null,""finish_level"":null,""machine_compatibility"":null,""recommended_pad_types"":null,""dusting_level"":null,""working_time"":null,""contains_protection"":null,""silicone_free"":null,""bodyshop_safe"":null,""wipe_off_ease"":null,""filler_free"":true,""formula_base"":""water_based"",""voc_free"":true,""safe_for_soft_paint"":false}"
22.202.260.001,abrasive_polish,heavy_cut_compound,"{""sub_type"":""heavy_cut_compound"",""cut_level"":null,""finish_level"":null,""machine_compatibility"":null,""recommended_pad_types"":null,""dusting_level"":null,""working_time"":null,""contains_protection"":null,""silicone_free"":null,""bodyshop_safe"":null,""wipe_off_ease"":null,""filler_free"":true}"
22.202.281.001,abrasive_polish,heavy_cut_compound,"{""sub_type"":""heavy_cut_compound"",""cut_level"":null,""finish_level"":null,""machine_compatibility"":null,""recommended_pad_types"":null,""dusting_level"":null,""working_time"":null,""contains_protection"":null,""silicone_free"":null,""bodyshop_safe"":null,""wipe_off_ease"":null,""filler_free"":true}"
22.984.281.001,abrasive_polish,heavy_cut_compound,"{""sub_type"":""heavy_cut_compound"",""cut_level"":null,""finish_level"":null,""machine_compatibility"":null,""recommended_pad_types"":null,""dusting_level"":null,""working_time"":null,""contains_protection"":null,""silicone_free"":null,""bodyshop_safe"":null,""wipe_off_ease"":null,""filler_free"":true}"
22.828.261.001,abrasive_polish,heavy_cut_compound,"{""sub_type"":""heavy_cut_compound"",""cut_level"":null,""finish_level"":null,""machine_compatibility"":null,""recommended_pad_types"":null,""dusting_level"":null,""working_time"":null,""contains_protection"":null,""silicone_free"":null,""bodyshop_safe"":null,""wipe_off_ease"":null,""filler_free"":true,""abrasive_type"":""diminishing"",""safe_for_soft_paint"":true}"
22.828.281.001,abrasive_polish,heavy_cut_compound,"{""sub_type"":""heavy_cut_compound"",""cut_level"":null,""finish_level"":null,""machine_compatibility"":null,""recommended_pad_types"":null,""dusting_level"":null,""working_time"":null,""contains_protection"":null,""silicone_free"":null,""bodyshop_safe"":null,""wipe_off_ease"":null,""filler_free"":true,""formula_base"":""water_based"",""abrasive_type"":""diminishing"",""safe_for_soft_paint"":true}"
22.748.281.001,abrasive_polish,one_step_polish,"{""sub_type"":""one_step_polish"",""cut_level"":null,""finish_level"":null,""machine_compatibility"":null,""recommended_pad_types"":null,""dusting_level"":null,""working_time"":null,""contains_protection"":null,""silicone_free"":null,""bodyshop_safe"":null,""wipe_off_ease"":null,""filler_free"":true,""grit_removal"":""P3000"",""volume_ml"":250,""made_in"":""Almanya""}"
22.029.281.001,abrasive_polish,polish,"{""sub_type"":""polish"",""cut_level"":null,""finish_level"":null,""machine_compatibility"":null,""recommended_pad_types"":null,""dusting_level"":null,""working_time"":null,""contains_protection"":null,""silicone_free"":null,""bodyshop_safe"":null,""wipe_off_ease"":null,""filler_free"":true,""abrasive_type"":""diminishing"",""safe_for_soft_paint"":true}"
22.992.251.001,abrasive_polish,polish,"{""sub_type"":""polish"",""cut_level"":null,""finish_level"":null,""machine_compatibility"":null,""recommended_pad_types"":null,""dusting_level"":null,""working_time"":null,""contains_protection"":null,""silicone_free"":null,""bodyshop_safe"":null,""wipe_off_ease"":null,""filler_free"":true,""abrasive_type"":""diminishing"",""grit_removal"":""P3000"",""gloss_level"":""Show Car Finish""}"
22.992.261.001,abrasive_polish,polish,"{""sub_type"":""polish"",""cut_level"":null,""finish_level"":null,""machine_compatibility"":null,""recommended_pad_types"":null,""dusting_level"":null,""working_time"":null,""contains_protection"":null,""silicone_free"":null,""bodyshop_safe"":null,""wipe_off_ease"":null,""filler_free"":true,""abrasive_type"":""diminishing"",""grit_removal"":""P3000"",""gloss_level"":""Show Car Finish""}"
Q2M-CMPR120M,abrasive_polish,heavy_cut_compound,"{""sub_type"":""heavy_cut_compound"",""cut_level"":null,""finish_level"":null,""machine_compatibility"":null,""recommended_pad_types"":null,""dusting_level"":null,""working_time"":null,""contains_protection"":null,""silicone_free"":null,""bodyshop_safe"":null,""wipe_off_ease"":null,""filler_free"":true,""abrasive_type"":""Japanese high-quality""}"
Q2M-CM120M,abrasive_polish,heavy_cut_compound,"{""sub_type"":""heavy_cut_compound"",""cut_level"":null,""finish_level"":null,""machine_compatibility"":null,""recommended_pad_types"":null,""dusting_level"":null,""working_time"":null,""contains_protection"":null,""silicone_free"":null,""bodyshop_safe"":null,""wipe_off_ease"":null,""filler_free"":true,""abrasive_type"":""Japanese high-quality""}"
Q2M-PO120M,abrasive_polish,polish,"{""sub_type"":""polish"",""cut_level"":null,""finish_level"":null,""machine_compatibility"":null,""recommended_pad_types"":null,""dusting_level"":null,""working_time"":null,""contains_protection"":null,""silicone_free"":null,""bodyshop_safe"":null,""wipe_off_ease"":null,""filler_free"":true,""abrasive_type"":""Japanese high-quality""}"
Q2M-GP250M,abrasive_polish,heavy_cut_compound,"{""sub_type"":""heavy_cut_compound"",""cut_level"":null,""finish_level"":null,""machine_compatibility"":null,""recommended_pad_types"":null,""dusting_level"":null,""working_time"":null,""contains_protection"":null,""silicone_free"":null,""bodyshop_safe"":null,""wipe_off_ease"":null,""target_surface"":""Glass"",""cleaning_power"":10,""function"":""Glass Cleaning & Preparation""}"
Q2M-PPR1000M,abrasive_polish,heavy_cut_compound,"{""sub_type"":""heavy_cut_compound"",""cut_level"":null,""finish_level"":null,""machine_compatibility"":null,""recommended_pad_types"":null,""dusting_level"":null,""working_time"":null,""contains_protection"":null,""silicone_free"":null,""bodyshop_safe"":null,""wipe_off_ease"":null,""target_surface"":""PPF"",""protection_type"":""SiO2"",""function"":""PPF Renovation & Protection""}"
74903,abrasive_polish,polish,"{""sub_type"":""polish"",""cut_level"":null,""finish_level"":null,""machine_compatibility"":null,""recommended_pad_types"":null,""dusting_level"":null,""working_time"":null,""contains_protection"":null,""silicone_free"":null,""bodyshop_safe"":null,""wipe_off_ease"":null,""target_surface"":""Plastic/Trim/Vinyl/Rubber/Leather"",""function"":""Clean & Protect"",""finish_type"":""Matte-Satin"",""protection_type"":""Antistatic + UV"",""scent"":""Vanilla""}"
700209,abrasive_polish,polish,"{""sub_type"":""polish"",""cut_level"":null,""finish_level"":null,""machine_compatibility"":null,""recommended_pad_types"":null,""dusting_level"":null,""working_time"":null,""contains_protection"":null,""silicone_free"":null,""bodyshop_safe"":null,""wipe_off_ease"":null,""target_surface"":""Plastic/Trim/Vinyl/Rubber/Leather"",""function"":""Clean & Protect"",""finish_type"":""Matte-Satin"",""protection_type"":""Antistatic + UV"",""scent"":""Vanilla"",""concentration"":""1:3""}"
74391,abrasive_polish,polish,"{""sub_type"":""polish"",""cut_level"":null,""finish_level"":null,""machine_compatibility"":null,""recommended_pad_types"":null,""dusting_level"":null,""working_time"":null,""contains_protection"":null,""silicone_free"":null,""bodyshop_safe"":null,""wipe_off_ease"":null,""target_surface"":""Plastic/Trim/Vinyl/Rubber/Leather"",""function"":""Clean & Protect"",""finish_type"":""Matte-Satin"",""protection_type"":""Antistatic + UV"",""scent"":""Vanilla"",""concentration"":""1:3""}"
SGGD188-02,applicators,applicator_pad,"{""material"":""Foam (Köpük)"",""shape"":""Yuvarlak"",""intended_use"":[""Wax"",""Cila"",""Boya Koruma""],""size"":""105 mm"",""reusable"":true,""features"":""Ergonomik kalın yapı"",""diameter"":""105 mm"",""type"":""El uygulama pedi""}"
3229,applicators,applicator_pad,"{""material"":""Microfiber Plush"",""intended_use"":[""Nano Koruma"",""Cila"",""İç Bakım""],""size"":""12x10 cm"",""reusable"":true,""features"":""Ultra yumuşak, çizmez"",""quantity"":""2 adet"",""type"":""Peluş aplikatör"",""purpose"":""Nano koruma uygulaması""}"
3224M,applicators,applicator_pad,"{""material"":""Microfiber"",""shape"":""Parmak Cep"",""intended_use"":[""Jant"",""Trim"",""Dar Alanlar""],""reusable"":true,""features"":""Hassas detay çalışması için parmağa takılır"",""quantity"":""6 adet"",""type"":""Parmak aplikatör"",""design"":""Parmağa geçmeli""}"
3235,applicators,applicator_pad,"{""material"":""Dual Foam (Siyah/Turuncu)"",""intended_use"":[""Wax (Siyah)"",""Pasta (Turuncu)""],""reusable"":true,""features"":""İki farklı sertlikte yüzey"",""quantity"":""2 adet"",""type"":""Çift taraflı sünger"",""design"":""Dual face""}"
ACC-SPG-2,applicators,tire_applicator,"{""material"":""Foam"",""shape"":""Elips"",""intended_use"":[""Lastik Parlatıcı""],""reusable"":true,""features"":""Ele oturan ergonomik yapı"",""type"":""Lastik parlatma süngeri"",""quantity"":""1 adet""}"
SGGD190,applicators,cleaning_sponge,"{""material"":""Melamin"",""intended_use"":[""Leke Çıkarma"",""Plastik Temizliği""],""reusable"":false,""features"":""Sadece su ile çalışır, kimyasal gerektirmez"",""type"":""Melamin sünger"",""function"":""Leke silgi"",""chemical_free"":true}"
SGGD296,applicators,tire_applicator,"{""material"":""Foam"",""shape"":""Saplı Fırça/Sünger"",""intended_use"":[""Lastik Parlatıcı""],""size"":""31 cm"",""reusable"":true,""features"":""Elleri kirletmeden uygulama sağlayan saplı tasarım"",""type"":""Lastik uygulama aparatı"",""design"":""PRO serisi"",""ergonomic"":true}"
11075-RE,applicators,applicator_pad,"{""material"":""Foam"",""intended_use"":[""Wax"",""Deri Bakım"",""Vinil""],""color"":""Kırmızı"",""reusable"":true,""type"":""Çok amaçlı el aplikatörü""}"
Q2M-CA2P,applicators,coating_applicator,"{""material"":""Süet + Mikrofiber"",""intended_use"":[""Seramik Kaplama""],""reusable"":true,""features"":""Çift yüzeyli (Süet tarafı seramik, mikrofiber tarafı silim)"",""quantity"":""2 adet"",""design"":""Çift taraflı"",""purpose"":""Seramik kaplama uygulaması""}"
Q2M-CA10P,applicators,coating_applicator,"{""material"":""Süet + Mikrofiber"",""intended_use"":[""Seramik Kaplama""],""quantity"":10,""reusable"":true,""design"":""Çift taraflı"",""purpose"":""Seramik kaplama uygulaması"",""professional"":true}"
Q2M-CAP10P,applicators,coating_applicator,"{""material"":""Süet + Mikrofiber"",""intended_use"":[""Seramik Kaplama""],""quantity"":10,""reusable"":true,""features"":""Ekonomik versiyon, çift taraflı"",""design"":""Çift taraflı Light"",""purpose"":""Hafif kaplama uygulaması""}"
Q2M-MFAE,applicators,applicator_pad,"{""material"":""Microfiber"",""shape"":""Parmak Cep"",""intended_use"":[""Jant"",""İç Trim"",""Deri""],""reusable"":true,""features"":""Ergonomik cep tasarımı"",""design"":""Parmak tip"",""version"":""EVO""}"
Q2M-TA2P,applicators,tire_applicator,"{""material"":""Foam"",""shape"":""Kavisli Blok"",""intended_use"":[""Lastik Parlatıcı""],""reusable"":true,""features"":""Lastik yanağına tam oturan kavisli yapı"",""quantity"":""2 adet"",""type"":""Sünger blok"",""purpose"":""Lastik parlatıcı uygulaması""}"
Q2M-SPE,applicators,scrub_pad,"{""material"":""Foam/Microfiber"",""intended_use"":[""Deri Temizliği"",""Plastik Temizliği""],""reusable"":true,""features"":""İç temizlik için ovma özelliği"",""version"":""EVO"",""purpose"":""Deri ve plastik temizliği"",""safe_for"":[""Deri"",""Plastik"",""Vinil""]}"
SGGD004,applicators,wash_sponge,"{""sub_type"":""pump_sprayer"",""capacity_liters"":null,""chemical_resistance"":null,""max_pressure_bar"":null,""pressure_relief_valve"":null,""nozzle_types"":null,""compressed_air_connection"":null,""spare_seals_included"":null,""spray_pattern_adjustable"":null,""function"":""Araç Yıkama Süngeri"",""material"":""Poliüretan köpük"",""dimensions"":""200 x 125 x 45 mm"",""color"":""Siyah"",""scratch_safe"":true}"
Q2M-BM,brushes,wheel_brush,"{""bristle_material"":""Mikrofiber"",""handle_length_cm"":38,""target_surface"":[""jant""],""brush_type"":""wheel_brush"",""brush_size"":""medium"",""set_count"":1,""size"":""Orta Boy"",""length"":""38 cm"",""material"":""Mikrofiber"",""safe_for"":[""Jant"",""Krom"",""Boyalı yüzeyler""],""flexibility"":""Yüksek""}"
Q2M-BL,brushes,wheel_brush,"{""bristle_material"":""Mikrofiber"",""handle_length_cm"":46,""target_surface"":[""jant""],""brush_type"":""wheel_brush"",""brush_size"":""large"",""set_count"":1,""size"":""Büyük Boy"",""length"":""46 cm"",""material"":""Mikrofiber"",""safe_for"":[""Jant"",""Krom"",""Boyalı yüzeyler""],""flexibility"":""Yüksek""}"
Q2M-LB,brushes,leather_brush,"{""bristle_material"":""Doğal Kıl"",""target_surface"":[""deri""],""brush_type"":""leather_brush"",""brush_size"":""medium"",""set_count"":1,""handle_material"":""Doğal ahşap"",""design"":""Ergonomik, yuvarlak kenarlı"",""safe_for"":[""Deri"",""Alcantara"",""Vinil""]}"
Q2M-TB,brushes,tire_brush,"{""bristle_material"":""Naylon"",""target_surface"":[""lastik""],""brush_type"":""tire_brush"",""brush_size"":""medium"",""set_count"":1,""handle_material"":""Ergonomik ahşap"",""chemical_resistant"":true,""safe_for"":[""Lastik"",""Davlumbaz"",""Paspas"",""Kauçuk""]}"
SGGD421,brushes,detail_brush,"{""bristle_material"":""Sentetik"",""target_surface"":[""detay"",""havalandırma"",""iç mekan""],""brush_type"":""detail_brush"",""brush_size"":""small"",""set_count"":3,""set_content"":""3 farklı sertlikte fırça"",""handle_material"":""PP (polipropilen)"",""handle_length"":""220 mm"",""bristle_types"":[""Yumuşak"",""Orta"",""Sert""]}"
SGGD049,brushes,wheel_brush,"{""bristle_material"":""Sentetik"",""target_surface"":[""jant"",""bijon""],""brush_type"":""wheel_brush"",""brush_size"":""small"",""set_count"":1,""bristle_type"":""Yumuşak, pürüzsüz kıl"",""flexibility"":""Yüksek"",""handle_design"":""Ergonomik"",""safe_for"":[""Jant"",""Krom"",""Boyalı yüzeyler""]}"
SGGD045,brushes,detail_brush,"{""bristle_material"":""Sentetik"",""target_surface"":[""iç mekan"",""havalandırma"",""konsol""],""brush_type"":""detail_brush"",""brush_size"":""small"",""set_count"":1,""bristle_type"":""Yumuşak, pürüzsüz kıl"",""flexibility"":""Esnek"",""handle_design"":""Ergonomik"",""safe_for"":[""Plastik"",""Deri"",""Alcantara"",""Kumaş""]}"
SGGD294,brushes,wheel_brush,"{""bristle_material"":""Yün"",""target_surface"":[""jant""],""brush_type"":""wheel_brush"",""brush_size"":""medium"",""set_count"":1,""bristle_spec"":""25 x 0.4 mm"",""handle_design"":""Ergonomik, dayanıklı"",""suitable_for"":[""Lastik"",""Halı"",""Paspas"",""Tekerlek""]}"
Q2M-BYA1000M,car_shampoo,ph_neutral_shampoo,"{""ph_level"":""6 (Nötr)"",""concentrate"":true,""dilution_ratio"":""1:500"",""features"":""Seramik ve wax dostu, kaygan jel formül"",""application_method"":""Kova veya Foam Lance"",""foam_level"":""high"",""lubricity_level"":""9/10"",""contains_sio2_or_wax"":false,""safe_on_ceramic_coatings"":true,""safe_on_ppf_wrap"":true,""consumption_ml_per_car"":20}"
Q2M-BPYA1000M,car_shampoo,ceramic_infused_shampoo,"{""ph_level"":""6-7 (Nötr)"",""contains_sio2"":true,""durability"":""8 Hafta"",""features"":""Yıka ve Koru (Wash & Coat), anında su iticilik"",""sio2_percentage"":5,""durability_weeks"":8,""foam_level"":""high"",""lubricity_level"":""9/10"",""consumption_ml_per_car"":20}"
Q2M-FYA1000M,car_shampoo,prewash_foaming_shampoo,"{""ph_level"":""Nötr"",""concentrate"":true,""dilution_ratio"":""1:5 (Kış) - 1:15 (Yaz)"",""features"":""Yoğun kar köpüğü, kaplama dostu"",""foam_thickness"":""1 cm+"",""dwell_time_seconds"":60,""safe_on_ceramic_coatings"":true,""consumption_ml_per_car"":50}"
Q2M-PPFW500M,car_shampoo,ppf_shampoo,"{""ph_level"":""7 (Nötr)"",""features"":""Demir tozu sökücü etkili, folyo gözeneklerini temizler"",""dilution_ratio"":""1:500"",""iron_remover"":true,""safe_on_ppf"":true,""hydrophobic_restore"":true,""consumption_ml_per_car"":25}"
Q2M-RWYA1000M,car_shampoo,decon_shampoo,"{""ph_level"":""6 (Hafif Asidik)"",""features"":""Kireç ve demir tozu çözer, kaplamayı canlandırır"",""dilution_ratio"":""1:500"",""iron_remover"":true,""alkaline_neutralizer"":true,""safe_on_ceramic_coatings"":true,""hydrophobic_restore"":true,""consumption_ml_per_car"":25}"
Q2M-EW1000M,car_shampoo,rinseless_wash,"{""ph_level"":""Nötr"",""contains_sio2"":true,""dilution_ratio"":""1:10 (Susuz) - 1:256 (Durulamasız)"",""features"":""Susuz yıkama ve parlaklık"",""waterless_dilution"":""1:10 - 1:15"",""rinseless_dilution"":""1:150 - 1:256"",""dry_aid_dilution"":""1:20"",""safe_on_ceramic_coatings"":true}"
79283,car_shampoo,ph_neutral_shampoo,"{""ph_level"":""7.0 (Nötr)"",""technology"":""Enzim Bazlı"",""dilution_ratio"":""1:50 (Kova) - 1:12 (Foam Lance)"",""features"":""Organik kirleri parçalar, renkli köpük seçenekleri mevcut"",""dilution_kova"":""1:50"",""dilution_foam_lance"":""1:12"",""safe_on_ceramic_coatings"":true,""consumption_ml_per_car"":20}"
700507,car_shampoo,ph_neutral_shampoo,"{""ph_level"":""6.0"",""foam_color"":""Mavi"",""technology"":""Enzim Bazlı"",""features"":""Görsel takip sağlayan renkli köpük"",""dilution_foam_lance"":""1:9 - 1:12"",""safe_on_ceramic_coatings"":true,""consumption_ml_per_car"":20}"
79280,car_shampoo,prewash_foaming_shampoo,"{""ph_level"":""11.50 (Alkali)"",""features"":""Temassız kir çözücü, bitkisel bazlı, kaplama dostu"",""dilution_ratio"":""1:50"",""technology"":""Enzim Bazlı"",""dilution_foam_lance"":""1:3 - 1:9"",""safe_on_ceramic_coatings"":true,""consumption_ml_per_car"":50}"
79286,car_shampoo,ceramic_infused_shampoo,"{""ph_level"":""6.50"",""contains_sio2"":true,""features"":""Yıkama, mühürleme ve su iticilik (3in1)"",""cure_time"":""7 Saat"",""technology"":""Enzim Bazlı"",""durability_months"":4,""cure_time_hours"":7,""gloss_level"":""4/5"",""hydrophobic_level"":""5/5"",""consumption_ml_per_car"":17}"
79290,car_shampoo,decon_shampoo,"{""ph_level"":""3 (Asidik)"",""features"":""Kireç ve mineral sökücü, kaplama yenileyici"",""dilution_ratio"":""1:50 (Bakım) - 1:5 (Dekontaminasyon)"",""lime_remover"":true,""mineral_remover"":true,""dilution_maintenance"":""1:50"",""dilution_decon"":""1:5"",""safe_on_ceramic_coatings"":true,""consumption_ml_per_car"":20}"
