# Completed SKUs - Product Data Enrichment Pipeline
# Format: SKU | Status | Has URLs | Timestamp
# ================================================
# Category: abrasive_polishes (40 products - COMPLETED)

# Pilot Test (5)
22748.281.001 | completed | urls:3 | 2026-02-04T12:30:00Z
71176 | completed | no_urls | 2026-02-04T14:35:00Z
JC0101 | completed | no_urls | 2026-02-04T14:35:00Z

# ================================================
# CATEGORY SUMMARY: glass_cleaner
# Total: 7 products processed
# GYEON: 2, INNOVACAR: 2, FRA-BER: 2, LITTLE JOE: 1
# Status: COMPLETED
# ================================================

# ================================================
# Category: masking_tapes (7 products - COMPLETED)

MT12450M | completed | no_urls | 2026-02-04T14:40:00Z
MT11850M | completed | no_urls | 2026-02-04T14:40:00Z
MT13650M | completed | no_urls | 2026-02-04T14:40:00Z
MT14850M | completed | no_urls | 2026-02-04T14:40:00Z
HPG11850M | completed | no_urls | 2026-02-04T14:40:00Z
TT01T10M | completed | no_urls | 2026-02-04T14:40:00Z
Q2M-MT6X18M | completed | no_urls | 2026-02-04T14:40:00Z

# ================================================
# CATEGORY SUMMARY: masking_tapes
# Total: 7 products processed
# Q1 TAPES: 6, GYEON: 1
# Status: COMPLETED
# ================================================

# ================================================
# Category: brushes (8 products - COMPLETED)

Q2M-BM | completed | no_urls | 2026-02-04T14:50:00Z
Q2M-BL | completed | no_urls | 2026-02-04T14:50:00Z
Q2M-LB | completed | no_urls | 2026-02-04T14:50:00Z
Q2M-TB | completed | no_urls | 2026-02-04T14:50:00Z
SGGD421 | completed | no_urls | 2026-02-04T14:50:00Z
SGGD049 | completed | no_urls | 2026-02-04T14:50:00Z
SGGD045 | completed | no_urls | 2026-02-04T14:50:00Z
SGGD294 | completed | no_urls | 2026-02-04T14:50:00Z

# CATEGORY SUMMARY: brushes - GYEON: 4, SGCB: 4 - COMPLETED
# ================================================

# ================================================
# Category: industrial_products (11 products - COMPLETED)

6.008.056.001 | completed | no_urls | 2026-02-04T15:00:00Z
12.001.056.001 | completed | no_urls | 2026-02-04T15:00:00Z
7.001.056.001 | completed | no_urls | 2026-02-04T15:00:00Z
7.945.056.001 | completed | no_urls | 2026-02-04T15:00:00Z
7.163.056.001 | completed | no_urls | 2026-02-04T15:00:00Z
12.002.056.001 | completed | no_urls | 2026-02-04T15:00:00Z
7.008.056.001 | completed | no_urls | 2026-02-04T15:00:00Z
7.006.056.001 | completed | no_urls | 2026-02-04T15:00:00Z
7.201.056.001 | completed | no_urls | 2026-02-04T15:00:00Z
7.984.056.001 | completed | no_urls | 2026-02-04T15:00:00Z
7.933.056.001 | completed | no_urls | 2026-02-04T15:00:00Z

# CATEGORY SUMMARY: industrial_products - MENZERNA: 11 (all solid compounds)
# Sub_type issues: ALL 11 flagged (interior_detailer → solid_compound)
# ================================================

# ================================================
# Category: applicators (14 products - COMPLETED)

SGGD188-02 | completed | no_urls | 2026-02-04T15:05:00Z
3229 | completed | no_urls | 2026-02-04T15:05:00Z
3224M | completed | no_urls | 2026-02-04T15:05:00Z
3235 | completed | no_urls | 2026-02-04T15:05:00Z
ACC-SPG-2 | completed | no_urls | 2026-02-04T15:05:00Z
SGGD190 | completed | no_urls | 2026-02-04T15:05:00Z
SGGD296 | completed | no_urls | 2026-02-04T15:05:00Z
11075-RE | completed | no_urls | 2026-02-04T15:05:00Z
Q2M-CA2P | completed | no_urls | 2026-02-04T15:05:00Z
Q2M-CA10P | completed | no_urls | 2026-02-04T15:05:00Z
Q2M-CAP10P | completed | no_urls | 2026-02-04T15:05:00Z
Q2M-MFAE | completed | no_urls | 2026-02-04T15:05:00Z
Q2M-TA2P | completed | no_urls | 2026-02-04T15:05:00Z
Q2M-SPE | completed | no_urls | 2026-02-04T15:05:00Z

# CATEGORY SUMMARY: applicators - GYEON: 6, SGCB: 3, KLIN: 4, MG PS: 1
# Status: COMPLETED
# ================================================

# ================================================
# Category: ppf_tools (15 products - COMPLETED)

Q2M-PPFSL1000M | completed | no_urls | 2026-02-04T15:15:00Z
Q2M-PPFSL4000M | completed | no_urls | 2026-02-04T15:15:00Z
PPF-L500M | completed | no_urls | 2026-02-04T15:15:00Z
SGPM006 | completed | no_urls | 2026-02-04T15:15:00Z
SGPM001 | completed | no_urls | 2026-02-04T15:15:00Z
SGPM002 | completed | no_urls | 2026-02-04T15:15:00Z
SGPM003 | completed | no_urls | 2026-02-04T15:15:00Z
SGPM004 | completed | no_urls | 2026-02-04T15:15:00Z
SGPM005 | completed | no_urls | 2026-02-04T15:15:00Z
SGPM007 | completed | no_urls | 2026-02-04T15:15:00Z
SGPM009 | completed | no_urls | 2026-02-04T15:15:00Z
SGPM008 | completed | no_urls | 2026-02-04T15:15:00Z
Q2M-PPFIK | completed | no_urls | 2026-02-04T15:15:00Z
SGPM013 | completed | no_urls | 2026-02-04T15:15:00Z
SGPM014 | completed | no_urls | 2026-02-04T15:15:00Z

# CATEGORY SUMMARY: ppf_tools - GYEON: 4, SGCB: 11
# Status: COMPLETED
# ================================================

# ================================================
# Category: storage_accessories (19 products - COMPLETED)

SGGD416 | completed | no_urls | 2026-02-04T15:25:00Z
SGGD415 | completed | no_urls | 2026-02-04T15:25:00Z
530882 | completed | no_urls | 2026-02-04T15:25:00Z
530883 | completed | no_urls | 2026-02-04T15:25:00Z
502561 | completed | no_urls | 2026-02-04T15:25:00Z
SGGD175 | completed | no_urls | 2026-02-04T15:25:00Z
SGGD291 | completed | no_urls | 2026-02-04T15:25:00Z
SGGD025 | completed | no_urls | 2026-02-04T15:25:00Z
SGGD285 | completed | no_urls | 2026-02-04T15:25:00Z
SGGD289 | completed | no_urls | 2026-02-04T15:25:00Z
Q2M-SCOV | completed | no_urls | 2026-02-04T15:25:00Z
Q2M-SWCOV | completed | no_urls | 2026-02-04T15:25:00Z
79472 | completed | no_urls | 2026-02-04T15:25:00Z
Q2M-KM | completed | no_urls | 2026-02-04T15:25:00Z
KLIN-3251BL | completed | no_urls | 2026-02-04T15:25:00Z
SGGD233 | completed | no_urls | 2026-02-04T15:25:00Z
481491 | completed | no_urls | 2026-02-04T15:25:00Z
532024 | completed | no_urls | 2026-02-04T15:25:00Z
405418 | completed | no_urls | 2026-02-04T15:25:00Z

# CATEGORY SUMMARY: storage_accessories - SGCB: 10, GYEON: 4, FLEX: 3, KLIN: 1, SONAX: 1
# Sub_type issues: 3 (FLEX vacuum cleaners marked as work_gear)
# Status: COMPLETED
# ================================================

# ================================================
# Category: products_contaminant_solvers (29 products - COMPLETED)

Q2M-PYA1000M | completed | no_urls | 2026-02-04T15:40:00Z
79292 | completed | no_urls | 2026-02-04T15:40:00Z
Q2M-IR1000M | completed | no_urls | 2026-02-04T15:40:00Z
76008 | completed | no_urls | 2026-02-04T15:40:00Z
Q2M-WSYA500M | completed | no_urls | 2026-02-04T15:40:00Z
Q2M-TR1000M | completed | no_urls | 2026-02-04T15:40:00Z
79291 | completed | no_urls | 2026-02-04T15:40:00Z
Q2M-CLR500M | completed | no_urls | 2026-02-04T15:40:00Z
Q2M-IR500M | completed | no_urls | 2026-02-04T15:40:00Z
Q2M-IR4000M | completed | no_urls | 2026-02-04T15:40:00Z
Q2M-IWCR500M | completed | no_urls | 2026-02-04T15:40:00Z
Q2M-IWCR1000M | completed | no_urls | 2026-02-04T15:40:00Z
Q2M-IWCR4000M | completed | no_urls | 2026-02-04T15:40:00Z
Q2M-CCE | completed | no_urls | 2026-02-04T15:40:00Z
700482 | completed | no_urls | 2026-02-04T15:40:00Z
700210 | completed | no_urls | 2026-02-04T15:40:00Z
70864 | completed | no_urls | 2026-02-04T15:40:00Z
76006 | completed | no_urls | 2026-02-04T15:40:00Z
MGPS-2019KM | completed | no_urls | 2026-02-04T15:40:00Z
MGPS-2019KH | completed | no_urls | 2026-02-04T15:40:00Z
Q2M-BGYA500M | completed | no_urls | 2026-02-04T15:40:00Z
Q2M-TR500M | completed | no_urls | 2026-02-04T15:40:00Z
Q2M-TR4000M | completed | no_urls | 2026-02-04T15:40:00Z
Q2M-BGYA1000M | completed | no_urls | 2026-02-04T15:40:00Z
79293 | completed | no_urls | 2026-02-04T15:40:00Z
Q2M-WSYA1000M | completed | no_urls | 2026-02-04T15:40:00Z
701344 | completed | no_urls | 2026-02-04T15:40:00Z
701350 | completed | no_urls | 2026-02-04T15:40:00Z
700888 | completed | no_urls | 2026-02-04T15:40:00Z

# CATEGORY SUMMARY: products_contaminant_solvers - GYEON: 19, FRA-BER: 5, INNOVACAR: 4, MG PS: 2
# Sub_type issues: 7 (clay/tar products with wrong sub_type)
# Status: COMPLETED
# ================================================

# ================================================
# Category: microfiber (31 products - COMPLETED)

# Drying Towels (4)
Q2M-SDE7090C | completed | no_urls | 2026-02-04T16:00:00Z
Q2M-SDE5055C | completed | no_urls | 2026-02-04T16:00:00Z
3213EMR | completed | no_urls | 2026-02-04T16:00:00Z
Q2M-SODE6080C | completed | no_urls | 2026-02-04T16:00:00Z

# Buffing Cloths (4)
3215D | completed | no_urls | 2026-02-04T16:00:00Z
Q2M-SWE4040C | completed | no_urls | 2026-02-04T16:00:00Z
Q2M-PWE4040C | completed | no_urls | 2026-02-04T16:00:00Z
3215ZB | completed | no_urls | 2026-02-04T16:00:00Z

# Coating/Multi-Purpose Cloths (4)
Q2M-BWE4040 | completed | no_urls | 2026-02-04T16:00:00Z
3217HS-5G | completed | no_urls | 2026-02-04T16:00:00Z
3217HS-5W | completed | no_urls | 2026-02-04T16:00:00Z
KLIN-3113AG | completed | no_urls | 2026-02-04T16:00:00Z

# Wash Mitts (10)
Q2M-STE | completed | no_urls | 2026-02-04T16:00:00Z
3221A-RD | completed | no_urls | 2026-02-04T16:00:00Z
3227I-HD | completed | no_urls | 2026-02-04T16:00:00Z
Q2M-WME | completed | no_urls | 2026-02-04T16:00:00Z
Q2M-WP | completed | no_urls | 2026-02-04T16:00:00Z
3225A-BL | completed | no_urls | 2026-02-04T16:00:00Z
3227B | completed | no_urls | 2026-02-04T16:00:00Z
3228R | completed | no_urls | 2026-02-04T16:00:00Z
MGPS-6031B-P | completed | no_urls | 2026-02-04T16:00:00Z

# Glass Cloths (5)
Q2M-GWE4040 | completed | no_urls | 2026-02-04T16:00:00Z
3218 | completed | no_urls | 2026-02-04T16:00:00Z
Q2M-WD4040C | completed | no_urls | 2026-02-04T16:00:00Z
3218-1 | completed | no_urls | 2026-02-04T16:00:00Z
Q2M-WD4060C | completed | no_urls | 2026-02-04T16:00:00Z

# Interior/Leather/Suede Cloths (3)
Q2M-IWE40402P | completed | no_urls | 2026-02-04T16:00:00Z
Q2M-LWE40402P | completed | no_urls | 2026-02-04T16:00:00Z
Q2M-SEP1010C | completed | no_urls | 2026-02-04T16:00:00Z

# Kits (2)
Q2M-IPE4P | completed | no_urls | 2026-02-04T16:00:00Z
Q2M-GPE2P | completed | no_urls | 2026-02-04T16:00:00Z

# CATEGORY SUMMARY: microfiber - GYEON: 18, KLIN: 12, MG PS: 1
# Sub_type issues: 1 (MGPS-6031B-P clay pad categorized as microfiber_cloth)
# Status: COMPLETED
# ================================================

# ================================================
# Category: products_spare_part (32 products - COMPLETED)

# Carbon Brushes (2)
336807 | completed | no_urls | 2026-02-04T17:00:00Z
399647 | completed | no_urls | 2026-02-04T17:00:00Z

# Maintenance Kits & Nozzle Kits (4)
81676800 | completed | no_urls | 2026-02-04T17:00:00Z
81771871 | completed | no_urls | 2026-02-04T17:00:00Z
81771874 | completed | no_urls | 2026-02-04T17:00:00Z
82671874 | completed | no_urls | 2026-02-04T17:00:00Z

# Backing Plates - FLEX (6)
487953 | completed | no_urls | 2026-02-04T17:00:00Z
487988 | completed | no_urls | 2026-02-04T17:00:00Z
492353 | completed | no_urls | 2026-02-04T17:00:00Z
509248 | completed | no_urls | 2026-02-04T17:00:00Z
492361 | completed | no_urls | 2026-02-04T17:00:00Z
458813 | completed | no_urls | 2026-02-04T17:00:00Z

# Backing Plates - SGCB (4)
SGGD166 | completed | no_urls | 2026-02-04T17:00:00Z
SGGF181-57 | completed | no_urls | 2026-02-04T17:00:00Z
SGGD051 | completed | no_urls | 2026-02-04T17:00:00Z
SGGD053 | completed | no_urls | 2026-02-04T17:00:00Z

# Backing Plates - MENZERNA (3)
26.935.099.001 | completed | no_urls | 2026-02-04T17:00:00Z
26.931.099.001 | completed | no_urls | 2026-02-04T17:00:00Z
26.934.099.001 | completed | no_urls | 2026-02-04T17:00:00Z

# Tornador Parts (2)
SGYC010 | completed | no_urls | 2026-02-04T17:00:00Z
SGYC011 | completed | no_urls | 2026-02-04T17:00:00Z

# IK Sprayer Parts (5)
83371816 | completed | no_urls | 2026-02-04T17:00:00Z
83371602 | completed | no_urls | 2026-02-04T17:00:00Z
82671836 | completed | no_urls | 2026-02-04T17:00:00Z
83371836 | completed | no_urls | 2026-02-04T17:00:00Z
82671872 | completed | no_urls | 2026-02-04T17:00:00Z

# Trigger Heads (4)
79643 | completed | no_urls | 2026-02-04T17:00:00Z
8447 | completed | no_urls | 2026-02-04T17:00:00Z
79258 | completed | no_urls | 2026-02-04T17:00:00Z
8410 | completed | no_urls | 2026-02-04T17:00:00Z

# Battery & Charger (2)
445894 | completed | no_urls | 2026-02-04T17:00:00Z
417882 | completed | no_urls | 2026-02-04T17:00:00Z

# CATEGORY SUMMARY: products_spare_part - FLEX: 10, SGCB: 6, IK: 9, MENZERNA: 3, FRA-BER: 1, EPOCA: 3
# Sub_type issues: None
# Status: COMPLETED
# ================================================

# ================================================
# Category: products_paint_protection (34 products - COMPLETED)

# Spray & Rinse Sealants (9)
Q2M-WYA1000M | completed | no_urls | 2026-02-04T18:00:00Z
Q2M-WYA500M | completed | no_urls | 2026-02-04T18:00:00Z
79304 | completed | no_urls | 2026-02-04T18:00:00Z
Q2M-CDYA500M | completed | no_urls | 2026-02-04T18:00:00Z
Q2M-QDYA1000M | completed | no_urls | 2026-02-04T18:00:00Z
79301 | completed | no_urls | 2026-02-04T18:00:00Z
Q2M-CRYA250M | completed | no_urls | 2026-02-04T18:00:00Z
Q2M-CMR500M | completed | no_urls | 2026-02-04T18:00:00Z
Q2M-PPFMR500M | completed | no_urls | 2026-02-04T18:00:00Z

# Spray Sealants & Liquid Sealants (13)
26.919.271.001 | completed | no_urls | 2026-02-04T18:00:00Z
79417 | completed | no_urls | 2026-02-04T18:00:00Z
700097 | completed | no_urls | 2026-02-04T18:00:00Z
75215 | completed | no_urls | 2026-02-04T18:00:00Z
22.070.261.001 | completed | no_urls | 2026-02-04T18:00:00Z
22.870.261.001 | completed | no_urls | 2026-02-04T18:00:00Z
74062 | completed | no_urls | 2026-02-04T18:00:00Z
71331 | completed | no_urls | 2026-02-04T18:00:00Z
70545 | completed | no_urls | 2026-02-04T18:00:00Z
75016 | completed | no_urls | 2026-02-04T18:00:00Z
Q2M-WCYA4000M | completed | no_urls | 2026-02-04T18:00:00Z
78779 | completed | no_urls | 2026-02-04T18:00:00Z
22.870.281.001 | completed | no_urls | 2026-02-04T18:00:00Z

# Liquid Sealants & Paste Wax (5)
22.070.281.001 | completed | no_urls | 2026-02-04T18:00:00Z
22.747.251.001 | completed | no_urls | 2026-02-04T18:00:00Z
Q2-W175G | completed | no_urls | 2026-02-04T18:00:00Z
79295 | completed | no_urls | 2026-02-04T18:00:00Z
700096 | completed | no_urls | 2026-02-04T18:00:00Z

# Quick Detailers & Spray Wipe (4)
Q2M-CDYA1000M | completed | no_urls | 2026-02-04T18:00:00Z
Q2M-QDYA500M | completed | no_urls | 2026-02-04T18:00:00Z
75182 | completed | no_urls | 2026-02-04T18:00:00Z
74059 | completed | no_urls | 2026-02-04T18:00:00Z

# FLAGGED: Sub_type Issues (3)
Q2-QV120M | completed | no_urls | 2026-02-04T18:00:00Z | ISSUE: spray_wipe_sealant → glass_coating
Q2M-TOTR500M | completed | no_urls | 2026-02-04T18:00:00Z | ISSUE: spray_wipe_sealant → wax_remover
Q2M-TOTR1000M | completed | no_urls | 2026-02-04T18:00:00Z | ISSUE: spray_wipe_sealant → wax_remover

# ================================================
# CATEGORY SUMMARY: products_paint_protection
# Total: 34 products processed
# GYEON: 17, INNOVACAR: 6, MENZERNA: 4, FRA-BER: 7
# Sub_type issues: 3 (Q2-QV120M glass, Q2M-TOTR wax removers)
# Status: COMPLETED
# ================================================

# ================================================
# Category: products_polisher_machine (34 products - COMPLETED)

# Corded Rotary Polishers (5)
373680 | completed | no_urls | 2026-02-04T19:00:00Z
406813 | completed | no_urls | 2026-02-04T19:00:00Z
SGGF179 | completed | no_urls | 2026-02-04T19:00:00Z
SGGF189 | completed | no_urls | 2026-02-04T19:00:00Z
533019 | completed | no_urls | 2026-02-04T19:00:00Z

# Forced Rotation / Gear Driven (2)
418072 | completed | no_urls | 2026-02-04T19:00:00Z
533020 | completed | no_urls | 2026-02-04T19:00:00Z

# DA / Orbital Polishers (5)
447129 | completed | no_urls | 2026-02-04T19:00:00Z
418080 | completed | no_urls | 2026-02-04T19:00:00Z
533021 | completed | no_urls | 2026-02-04T19:00:00Z
SGGF181 | completed | no_urls | 2026-02-04T19:00:00Z
SGGF190 | completed | no_urls | 2026-02-04T19:00:00Z

# Mini/Nano Polishers (3)
418102 | completed | no_urls | 2026-02-04T19:00:00Z
SGGF273 | completed | no_urls | 2026-02-04T19:00:00Z
530537 | completed | no_urls | 2026-02-04T19:00:00Z

# Machine Kits (2)
513547 | completed | no_urls | 2026-02-04T19:00:00Z
513547-01 | completed | no_urls | 2026-02-04T19:00:00Z

# Sanders (2)
447706 | completed | no_urls | 2026-02-04T19:00:00Z
530632 | completed | no_urls | 2026-02-04T19:00:00Z

# Polisher Accessories (1)
516112 | completed | no_urls | 2026-02-04T19:00:00Z

# Heat Gun & Tornador (2)
532579 | completed | no_urls | 2026-02-04T19:00:00Z
SGGC055 | completed | no_urls | 2026-02-04T19:00:00Z

# Air Blow Guns (3)
SGGC086 | completed | no_urls | 2026-02-04T19:00:00Z
SGGS003 | completed | no_urls | 2026-02-04T19:00:00Z
SGGS006 | completed | no_urls | 2026-02-04T19:00:00Z

# FLAGGED: Work Lights - Wrong Category (4)
530375 | completed | no_urls | 2026-02-04T19:00:00Z | ISSUE: polisher_machine → work_light (LED aydınlatma)
463302 | completed | no_urls | 2026-02-04T19:00:00Z | ISSUE: polisher_machine → work_light (LED feneri)
486728 | completed | no_urls | 2026-02-04T19:00:00Z | ISSUE: polisher_machine → work_light (LED lamba)
SGGD402 | completed | no_urls | 2026-02-04T19:00:00Z | ISSUE: polisher_machine → water_spray_gun (su tabancası)

# FLAGGED: Mini Polishing Pads - Wrong Category (5)
GRY4535 | completed | no_urls | 2026-02-04T19:00:00Z | ISSUE: polisher_machine → polishing_pad (mini sünger)
GPRO6555 | completed | no_urls | 2026-02-04T19:00:00Z | ISSUE: polisher_machine → polishing_pad (mini sünger)
GPRO4535 | completed | no_urls | 2026-02-04T19:00:00Z | ISSUE: polisher_machine → polishing_pad (mini sünger)
BUR045 | completed | no_urls | 2026-02-04T19:00:00Z | ISSUE: polisher_machine → polishing_pad (mini sünger)
GPRO045 | completed | no_urls | 2026-02-04T19:00:00Z | ISSUE: polisher_machine → polishing_pad (mini sünger)

# ================================================
# CATEGORY SUMMARY: products_polisher_machine
# Total: 34 products processed
# FLEX: 19, SGCB: 10, MG PS: 5
# Sub_type issues: 9 (4 work lights, 5 polishing pads yanlış kategoride)
# Status: COMPLETED
# ================================================

# ================================================
# Category: ceramic_coatings (35 products - COMPLETED)

# Paint Coatings (10)
Q2-OLE50M | completed | no_urls | 2026-02-04T20:00:00Z
Q2-MLE50M | completed | no_urls | 2026-02-04T20:00:00Z
Q2-PLE50M | completed | no_urls | 2026-02-04T20:00:00Z
Q2-OLE30M | completed | no_urls | 2026-02-04T20:00:00Z
Q2-MLE30M | completed | no_urls | 2026-02-04T20:00:00Z
Q2-MLE100M | completed | no_urls | 2026-02-04T20:00:00Z
Q2-OLE100M | completed | no_urls | 2026-02-04T20:00:00Z
MXP-DPCN50KS | completed | no_urls | 2026-02-04T20:00:00Z
MXP-HC30KS | completed | no_urls | 2026-02-04T20:00:00Z
MXP-CCN50KS | completed | no_urls | 2026-02-04T20:00:00Z

# Paint Coating Kits (3)
Q2-SLE50M | completed | no_urls | 2026-02-04T20:00:00Z
Q2-SLE30M | completed | no_urls | 2026-02-04T20:00:00Z
700405 | completed | no_urls | 2026-02-04T20:00:00Z

# Specialty Coatings (7)
Q2-CCE200M | completed | no_urls | 2026-02-04T20:00:00Z
Q2-MTEL50M | completed | no_urls | 2026-02-04T20:00:00Z
Q2-RE30M | completed | no_urls | 2026-02-04T20:00:00Z
Q2-TRE30M | completed | no_urls | 2026-02-04T20:00:00Z
Q2-LSE50M | completed | no_urls | 2026-02-04T20:00:00Z
Q2-VE20M | completed | no_urls | 2026-02-04T20:00:00Z
79296 | completed | no_urls | 2026-02-04T20:00:00Z

# More Specialty (10)
Q2-PPFE50M | completed | no_urls | 2026-02-04T20:00:00Z
Q2-FCNA400M | completed | no_urls | 2026-02-04T20:00:00Z
79299 | completed | no_urls | 2026-02-04T20:00:00Z
Q2-TYA500M | completed | no_urls | 2026-02-04T20:00:00Z
Q2-AF120M | completed | no_urls | 2026-02-04T20:00:00Z
Q2-BS30M | completed | no_urls | 2026-02-04T20:00:00Z
Q2-PC100M | completed | no_urls | 2026-02-04T20:00:00Z
MXP-HC50KS | completed | no_urls | 2026-02-04T20:00:00Z
MXP-DPCN30KS | completed | no_urls | 2026-02-04T20:00:00Z
MXP-CCN30KS | completed | no_urls | 2026-02-04T20:00:00Z

# FLAGGED: Sub_type Issues - Wrong Category (5)
Q2M-PYA4000M | completed | no_urls | 2026-02-04T20:00:00Z | ISSUE: ceramic_coating → surface_prep (Prep - yüzey hazırlayıcı)
Q2M-PYA500M | completed | no_urls | 2026-02-04T20:00:00Z | ISSUE: ceramic_coating → surface_prep (Prep - yüzey hazırlayıcı)
